year;sample_number;size;ecto-mites_xs;ecto-mites_s;ecto-mites_m;ecto-mites_l;tracheal-mites;parasite_apicystis;parasite_crithidia;parasite_nosema;parasitoid_braconidae_larvae;parasitoid_conopidae_ventral_egg;parasitoid_conopidae_ventral_larvae;parasitoid_conopidae_dorsal_egg;parasitoid_conopidae_dorsal_larvae;parasitoid_conopidae_dead_larvae;nematode;ovary_development;fatbody_look;comment;dissector
2010;74;3.6;NA;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;75;3.3;NA;0;0;0;0;0;0;2;0;0;0;0;0;0;0;NA;NA;;NA
2010;76;3.8;NA;0;0;0;0;0;0;3;0;0;0;0;0;0;0;NA;NA;wh;NA
2010;77;3.6;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;78;3.5;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;79;3.3;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;80;3.3;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;81;3.5;NA;0;0;0;0;0;0;0;0;0;0;0;2;0;0;NA;NA;;NA
2010;82;3.3;NA;0;0;0;0;0;0;0;0;1;0;0;0;0;0;NA;NA;;NA
2010;83;3.2;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;84;3.6;NA;0;0;0;0;0;0;0;0;1;1;0;0;0;0;NA;NA;;NA
2010;85;3.4;NA;0;0;0;0;0;0;0;0;0;0;0;1;0;0;NA;NA;;NA
2010;86;2.9;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;87;3.3;NA;0;0;0;0;0;0;0;0;0;0;0;2;0;0;NA;NA;;NA
2010;88;3.5;NA;0;2;1;0;0;0;0;0;1;0;0;0;0;0;NA;NA;;NA
2010;89;3.1;NA;0;0;0;0;0;0;0;0;0;0;0;1;0;0;NA;NA;;NA
2010;90;3.7;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;91;lost;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA
2010;92;3.6;NA;0;0;0;0;0;0;0;0;0;0;0;3;0;0;NA;NA;;NA
2010;93;3.5;NA;0;0;0;3;0;0;0;0;0;0;0;1;0;0;NA;NA;;NA
2010;94;2.9;NA;0;0;0;0;0;0;0;0;0;0;0;1;0;0;NA;NA;;NA
2010;95;3.4;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;96;3;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;97;3.2;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;98;2.9;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;99;3.3;NA;0;0;0;0;0;0;0;0;0;0;0;1;0;0;NA;NA;wh;NA
2010;100;3.4;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;101;3.6;NA;0;0;0;0;0;0;0;0;0;0;0;1;0;0;NA;NA;;NA
2010;102;3.9;NA;0;0;0;0;0;0;0;0;0;0;0;2;0;0;NA;NA;;NA
2010;103;3.3;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;104;3.4;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;105;3.6;NA;0;0;0;0;0;0;0;0;0;1;0;0;0;0;NA;NA;;NA
2010;106;3.6;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;107;3;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;108;3;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;109;3.4;NA;0;0;2;0;0;0;0;0;0;0;0;1;0;0;NA;NA;;NA
2010;110;3.1;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;dark;NA
2010;111;3.3;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;112;3.8;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;113;3.3;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;114;3.6;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;115;2.8;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;116;3.3;NA;0;0;0;0;0;0;0;0;0;1;0;0;0;0;NA;NA;;NA
2010;117;3.2;NA;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;118;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA
2010;119;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA
2010;120;check;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA
2010;121;check;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA
2010;122;check;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA
2010;123;check;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA
2010;124;check;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA
2010;125;3.5;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;126;3.1;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;127;3.6;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;128;3.4;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;wh;NA
2010;129;3.7;NA;0;3;2;0;0;0;0;0;0;0;0;0;0;0;NA;NA;schwarzes wesen mit fÅhlern, vm, FlÅgeln asymmetrisch;NA
2010;130;4;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;1;NA;NA;;NA
2010;131;3.2;NA;0;0;0;0;0;0;1;0;0;0;0;0;0;0;NA;NA;;NA
2010;132;3.5;NA;0;0;0;0;0;0;0;0;1;0;0;0;0;0;NA;fatty;;NA
2010;133;3.2;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;134;3.2;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;135;3.4;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;136;3.1;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;137;3.2;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;138;3.3;NA;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NA;NA;milbe bei rechtem flÅgel;NA
2010;139;3.3;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;140;3.7;NA;0;0;0;0;0;0;0;0;0;0;0;1;0;0;NA;NA;;NA
2010;141;3.5;NA;0;0;0;0;0;0;0;0;0;0;0;1;2dorsal;0;NA;NA;wh;NA
2010;142;3.2;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;wh;NA
2010;143;3.3;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;144;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA
2010;145;3.4;NA;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;146;3.2;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;147;3.7;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;148;3.5;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;149;3.3;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;150;3.8;NA;0;0;1;0;0;0;0;0;2;0;0;1;1ventral;0;NA;fatty;;NA
2010;151;3.6;NA;0;0;0;0;0;0;0;0;0;0;0;1;0;0;NA;NA;wh;NA
2010;152;3.4;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;153;3.2;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;154;3.1;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;155;3.9;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;156;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA
2010;157;3.1;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;158;3.7;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;159;3.8;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;160;3.6;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;161;3.2;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;162;3.5;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;163;3.2;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;164;3.3;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;165;3.2;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;166;3.5;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;167;4;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;168;3.7;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;169;3.1;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;170;3;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;171;3.2;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;172;3.5;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;173;3.1;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;174;3.8;NA;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;175;3.2;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;176;3.1;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;177;3.8;NA;0;0;0;0;0;0;0;0;0;0;0;1;0;0;NA;NA;;NA
2010;178;2.7;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;NA1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA
2010;179;2.8;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;180;3;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;181;3.6;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;182;3.1;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;183;3.7;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;184;3.2;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;185;3.6;NA;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;186;3.3;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;187;2.9;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;188;3.1;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;189;2.8;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;190;3.2;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;191;3.2;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;192;3.6;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;193;3.7;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;194;3.2;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;195;3.2;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;196;3;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;197;3.6;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;198;3.4;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;199;3;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;200;2.9;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;201;3.3;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;202;3.3;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;203;3.4;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;204;3.4;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;205;3.2;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;206;3.2;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;207;3.1;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;208;3;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;209;3;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;210;3.1;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;211;3.4;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;212;3.2;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;213;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA
2010;214;3;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;215;3.8;NA;0;0;1;0;0;0;0;0;0;0;0;2;0;0;NA;NA;;NA
2010;216;3;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;217;3.3;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;218;4;NA;0;0;0;1;0;0;0;0;0;0;0;0;0;0;NA;NA;1 rote milbe;NA
2010;219;3.4;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;220;3.9;NA;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NA;NA;wh;NA
2010;221;3.3;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;222;3.3;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;223;3.4;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;224;3.6;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;225;3.1;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;226;3.4;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;227;3.2;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;228;3.4;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;229;3.8;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;230;3.8;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;231;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;NA
2010;232;3.8;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;233;3.3;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;234;3.2;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;235;3.5;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;236;3.4;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;237;3.6;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;238;3;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;239;3.4;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;240;3.5;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;241;3.1;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;242;3.3;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;243;3.2;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;244;3.5;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;245;3.3;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;248;4;NA;0;0;1;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;249;3.1;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;250;3.3;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
2010;251;3.9;NA;0;0;2;0;0;0;0;0;0;0;0;0;0;0;NA;NA;;NA
