plant.sp,genus,species,k.type
Heracleum sphondylium,Heracleum,sphondylium,1.2a
Hieracium adriaticiforme,Hieracium,adriaticiforme,7.2b
Hieracium anchusoides,Hieracium,anchusoides,7.2b
Hieracium angustifolium,Hieracium,angustifolium,7.2b
Hieracium apatelium,Hieracium,apatelium,7.2b
Hieracium aridum,Hieracium,aridum,7.2b
Hieracium arnoserioides,Hieracium,arnoserioides,7.2b
Hieracium arvicola,Hieracium,arvicola,7.2b
Hieracium aurantiacum,Hieracium,aurantiacum,7.2b
Hieracium auriculoides,Hieracium,auriculoides,7.2b
Hieracium basifurcum,Hieracium,basifurcum,7.2b
Hieracium bauhini,Hieracium,bauhini,7.2b
Hieracium bifidum,Hieracium,bifidum,7.2b
Hieracium bifurcum,Hieracium,bifurcum,7.2b
Hieracium brachiatum,Hieracium,brachiatum,7.2b
Hieracium brachycomum,Hieracium,brachycomum,7.2b
Hieracium caespitosum,Hieracium,caespitosum,7.2b
Hieracium calodon,Hieracium,calodon,7.2b
Hieracium chaetocephalum,Hieracium,chaetocephalum,7.2b
Hieracium chlorops,Hieracium,chlorops,7.2b
Hieracium cinereiforme,Hieracium,cinereiforme,7.2b
Hieracium cochleatum,Hieracium,cochleatum,7.2b
Hieracium cymosum,Hieracium,cymosum,7.2b
Hieracium densiflorum,Hieracium,densiflorum,7.2b
Hieracium dubium,Hieracium,dubium,7.2b
Hieracium echioides,Hieracium,echioides,7.2b
Hieracium euchaetium,Hieracium,euchaetium,7.2b
Hieracium fallaciforme,Hieracium,fallaciforme,7.2b
Hieracium fallacinum,Hieracium,fallacinum,7.2b
Hieracium fallax,Hieracium,fallax,7.2b
Hieracium flagellare,Hieracium,flagellare,7.2b
Hieracium floribundum,Hieracium,floribundum,7.2b
Hieracium fuscum,Hieracium,fuscum,7.2b
Hieracium glomeratum,Hieracium,glomeratum,7.2b
Hieracium guthnickianum,Hieracium,guthnickianum,7.2b
Hieracium heterodoxum,Hieracium,heterodoxum,7.2b
Hieracium hoppeanum,Hieracium,hoppeanum,7.2b
Hieracium hybridum,Hieracium,hybridum,7.2b
Hieracium hypeuryum,Hieracium,hypeuryum,7.2b
Hieracium iseranum,Hieracium,iseranum,7.2b
Hieracium kalksburgense,Hieracium,kalksburgense,7.2b
Hieracium koernickeanum,Hieracium,koernickeanum,7.2b
Hieracium lactucella,Hieracium,lactucella,7.2b
Hieracium leptoclados,Hieracium,leptoclados,7.2b
Hieracium leptophyton,Hieracium,leptophyton,7.2b
Hieracium leucense,Hieracium,leucense,7.2b
Hieracium longisquamum,Hieracium,longisquamum,7.2b
Hieracium macranthelum,Hieracium,macranthelum,7.2b
Hieracium macranthum,Hieracium,macranthum,7.2b
Hieracium macrostolonum,Hieracium,macrostolonum,7.2b
Hieracium montanum,Hieracium,montanum,7.2b
Hieracium murorum,Hieracium,murorum,7.2b
Hieracium nassovicum,Hieracium,nassovicum,7.2b
Hieracium niphostribes,Hieracium,niphostribes,7.2b
Hieracium nothum,Hieracium,nothum,7.2b
Hieracium paragogum,Hieracium,paragogum,7.2b
Hieracium peleterianum,Hieracium,peleterianum,7.2b
Hieracium pilosella,Hieracium,pilosella,7.2b
Hieracium piloselliflorum,Hieracium,piloselliflorum,7.2b
Hieracium pilosellinum,Hieracium,pilosellinum,7.2b
Hieracium piloselloides,Hieracium,piloselloides,7.2b
Hieracium pilosum,Hieracium,pilosum,7.2b
Hieracium polymastix,Hieracium,polymastix,7.2b
Hieracium prussicum,Hieracium,prussicum,7.2b
Hieracium pseudeffusum,Hieracium,pseudeffusum,7.2b
Hieracium rothianum,Hieracium,rothianum,7.2b
Hieracium rubriflorum,Hieracium,rubriflorum,7.2b
Hieracium schneidii,Hieracium,schneidii,7.2b
Hieracium schultesii,Hieracium,schultesii,7.2b
Hieracium sciadophorum,Hieracium,sciadophorum,7.2b
Hieracium sphaerocephalum,Hieracium,sphaerocephalum,7.2b
Hieracium spurium,Hieracium,spurium,7.2b
Hieracium stoloniflorum,Hieracium,stoloniflorum,7.2b
Hieracium substoloniflorum,Hieracium,substoloniflorum,7.2b
Hieracium sulphureum,Hieracium,sulphureum,7.2b
Hieracium villosum,Hieracium,villosum,7.2b
Hieracium viridifolium,Hieracium,viridifolium,7.2b
Hieracium visianii,Hieracium,visianii,7.2b
Hieracium vulgatum,Hieracium,vulgatum,7.2b
Hieracium walteri-langii,Hieracium,walteri-langii,7.2b
Hieracium zizianum,Hieracium,zizianum,7.2b
Hippocrepis comosa,Hippocrepis,comosa,6.1c
Holcus lanatus,Holcus,lanatus,0
Homogyne alpina,Homogyne,alpina,7.2a
Hypericum maculatum,Hypericum,maculatum,1.1
Hypericum perforatum,Hypericum,perforatum,1.1
Hypericum xdesetangsii,Hypericum,xdesetangsii,1.1
Impatiens noli-tangere,Impatiens,noli-tangere,5.2
Juncus trifidus,Juncus,trifidus,0
