site,elev.mean,date,yday,bb.sp,ktype,visits,prop.visits,flower.cover,perc.flower.cover,bb.sp.abund,tongue,elev.mean0,yday0,prop.flower.cover0,bb.sp.abund0,visits.bin
h1,817,2010-06-18,169,pasc,3,0,0,0.07,1.4675052410901468,5,med,-1.3332435961488247,-0.5514768483646593,-0.35528146733887067,0.15933054849923345,0
h1,817,2010-06-18,169,pasc,4,0,0,0.02,0.41928721174004185,5,med,-1.3332435961488247,-0.5514768483646593,-0.504893997695372,0.15933054849923345,0
h1,817,2010-06-18,169,pasc,5,1,0.2,0.26,5.450733752620545,5,med,-1.3332435961488247,-0.5514768483646593,0.2132461480158346,0.15933054849923345,1
h1,817,2010-06-18,169,pasc,6,4,0.8,0.29000000000000004,6.079664570230609,5,med,-1.3332435961488247,-0.5514768483646593,0.3030136662297355,0.15933054849923345,1
h1,817,2010-06-18,169,pasc,7,0,0,0.25,5.2410901467505235,5,med,-1.3332435961488247,-0.5514768483646593,0.18332364194453432,0.15933054849923345,0
h1,817,2010-06-18,169,prat,0,0,0,0.04,0.8385744234800837,1,short,-1.3332435961488247,-0.5514768483646593,-0.44504898555277145,-0.575804383312893,0
h1,817,2010-06-18,169,prat,1,0,0,0.62,12.997903563941298,1,short,-1.3332435961488247,-0.5514768483646593,1.2904563665826445,-0.575804383312893,0
h1,817,2010-06-18,169,prat,2,0,0,0.04,0.8385744234800837,1,short,-1.3332435961488247,-0.5514768483646593,-0.44504898555277145,-0.575804383312893,0
h1,817,2010-06-18,169,prat,3,0,0,0.07,1.4675052410901468,1,short,-1.3332435961488247,-0.5514768483646593,-0.35528146733887067,-0.575804383312893,0
h1,817,2010-06-18,169,prat,4,0,0,0.02,0.41928721174004185,1,short,-1.3332435961488247,-0.5514768483646593,-0.504893997695372,-0.575804383312893,0
h1,817,2010-06-18,169,prat,5,0,0,0.26,5.450733752620545,1,short,-1.3332435961488247,-0.5514768483646593,0.2132461480158346,-0.575804383312893,0
