plant.sp,plant.genus,color
Phyteuma nigrum,Phyteuma,blue
Phyteuma orbiculare,Phyteuma,blue
Phyteuma spicatum,Phyteuma,white
Pimpinella major,Pimpinella,white
Pinguicula alpina,Pinguicula,white
Plantago intermedia,Plantago,yellow
Plantago lanceolata,Plantago,brown
Plantago major,Plantago,yellow
Plantago media,Plantago,white
Plantago winteri,Plantago,yellow
Platanthera bifolia,Platanthera,white
Polygala alpestris,Polygala,blue
Polygala amara,Polygala,blue
Polygala amarella,Polygala,blue
Polygala chamaebuxus,Polygala,yellow
Polygonatum odoratum,Polygonatum,white
Polygonatum verticillatum,Polygonatum,white
Potentilla aurea,Potentilla,yellow
Potentilla brauneana,Potentilla,yellow
Potentilla erecta,Potentilla,yellow
Potentilla reptans,Potentilla,yellow
Prenanthes purpurea,Prenanthes,purple
Primula auricula,Primula,yellow
Primula elatior,Primula,yellow
Primula farinosa,Primula,purple
Primula minima,Primula,pink
Primula veris,Primula,yellow
Primula vulgaris,Primula,yellow
Pritzelago alpina,Pritzelago,white
Prunella grandiflora,Prunella,violet
Prunella laciniata,Prunella,white
Prunella vulgaris,Prunella,violet
Pseudorchis albida,Pseudorchis,white
Pulmonaria obscura,Pulmonaria,pink
Pulmonaria officinalis,Pulmonaria,red
Pulsatilla alpina,Pulsatilla,white
Pulsatilla micrantha,Pulsatilla,white
Pyrola rotundifolia,Pyrola,white
Ranunculus aconitifolius,Ranunculus,white
Ranunculus acris,Ranunculus,yellow
Ranunculus alpestris,Ranunculus,white
Ranunculus breyninus,Ranunculus,yellow
Ranunculus carinthiacus,Ranunculus,yellow
Ranunculus ficaria,Ranunculus,yellow
Ranunculus montanus,Ranunculus,yellow
Ranunculus nemorosus,Ranunculus,yellow
Ranunculus platanifolius,Ranunculus,white
Ranunculus polyanthemoides,Ranunculus,yellow
Ranunculus polyanthemophyllus,Ranunculus,yellow
Ranunculus polyanthemos,Ranunculus,yellow
Ranunculus repens,Ranunculus,yellow
Ranunculus serpens,Ranunculus,yellow
Ranunculus villarsii,Ranunculus,yellow
Rhinanthus alectorolophus,Rhinanthus,yellow
Rhinanthus glacialis,Rhinanthus,yellow
Rhinanthus minor,Rhinanthus,yellow
Rhinanthus rumelicus,Rhinanthus,yellow
Rhododendron hirsutum,Rhododendron,red
Rhodothamnus chamaecistus,Rhodothamnus,pink
Rosa canina,Rosa,pink
Rosa corymbifera,Rosa,pink
Rosa dumalis,Rosa,red
Rubus idaeus,Rubus,white
Rumex acetosa,Rumex,green
Rumex arifolius,Rumex,green
Rumex obtusifolius,Rumex,green
Sagina procumbens,Sagina,white
Sagina saginoides,Sagina,white
Salix retusa,Salix,purple
Salix serpillifolia,Salix,yellow
Salvia glutinosa,Salvia,yellow
Salvia verticillata,Salvia,blue
Sanguisorba officinalis,Sanguisorba,brown
Sanicula europaea,Sanicula,white
Saxifraga aizoides,Saxifraga,yellow
Saxifraga androsacea,Saxifraga,white
Saxifraga caesia,Saxifraga,white
