plant.sp,plant.genus,k.type,k.type.s,k.type.ss
Daucus carota,Daucus,1.2a,1.2,1
Dentaria enneaphyllos,Dentaria,1.2bb,1.2,1
Deschampsia cespitosa,Deschampsia,0,0,0
Deschampsia littoralis,Deschampsia,0,0,0
Deschampsia wibeliana,Deschampsia,0,0,0
Doronicum grandiflorum,Doronicum,7.2c,7.2,7
Draba aizoides,Draba,1.2bb,1.2,1
Dryas octopetala,Dryas,1.2ba,1.2,1
Epilobium alpestre,Epilobium,1.2ba,1.2,1
Epilobium alsinifolium,Epilobium,1.2ba,1.2,1
Epilobium angustifolium,Epilobium,1.2ba,1.2,1
Epilobium montanum,Epilobium,1.2ba,1.2,1
Epipactis atrorubens,Epipactis,5.4,5.4,5
Erica carnea,Erica,3.1,3.1,3
Erigeron annuus,Erigeron,7.2c,7.2,7
Erigeron uniflorus,Erigeron,7.2c,7.2,7
Eupatorium cannabinum,Eupatorium,7.2a,7.2,7
Euphorbia amygdaloides,Euphorbia,1.2a,1.2,1
Euphorbia cyparissias,Euphorbia,1.2a,1.2,1
Euphrasia frigida,Euphrasia,5.1,5.1,5
Euphrasia minima,Euphrasia,5.1,5.1,5
Euphrasia officinalis,Euphrasia,5.1,5.1,5
Festuca nigrescens,Festuca,0,0,0
Festuca pratensis,Festuca,0,0,0
Festuca quadriflora,Festuca,0,0,0
Fragaria moschata,Fragaria,1.2ba,1.2,1
Fragaria vesca,Fragaria,1.2ba,1.2,1
Fragaria viridis,Fragaria,1.2ba,1.2,1
Fragaria xananassa,Fragaria,1.2ba,1.2,1
Galeobdolon argentatum,Galeobdolon,5.1,5.1,5
Galeobdolon flavidum,Galeobdolon,5.1,5.1,5
Galeobdolon luteum,Galeobdolon,5.1,5.1,5
Galeobdolon montanum,Galeobdolon,5.1,5.1,5
Galeopsis speciosa,Galeopsis,5.1,5.1,5
Galeopsis tetrahit,Galeopsis,5.1,5.1,5
Galium album,Galium,1.2a,1.2,1
Galium anisophyllon,Galium,1.2a,1.2,1
Galium pumilum,Galium,1.2a,1.2,1
Galium sterneri,Galium,1.2a,1.2,1
Galium suecicum,Galium,1.2a,1.2,1
Galium valdepilosum,Galium,1.2a,1.2,1
Gentiana asclepiadea,Gentiana,2.1,2.1,2
Gentiana bavarica,Gentiana,4.1,4.1,4
Gentiana clusii,Gentiana,2.1,2.1,2
Gentiana cruciata,Gentiana,2.1,2.1,2
Gentiana nivalis,Gentiana,4.1,4.1,4
Gentiana pannonica,Gentiana,2.1,2.1,2
Gentiana utriculosa,Gentiana,4.1,4.1,4
Gentiana verna,Gentiana,4.1,4.1,4
Gentianella aspera,Gentianella,2.1,2.1,2
Gentianella ciliata,Gentianella,2.1,2.1,2
Geranium purpureum,Geranium,1.2bb,1.2,1
Geranium robertianum,Geranium,1.2bb,1.2,1
Geranium sylvaticum,Geranium,1.2bb,1.2,1
Geum rivale,Geum,3.2,3.2,3
Geum urbanum,Geum,1.2ba,1.2,1
Glechoma hederacea,Glechoma,5.1,5.1,5
Globularia cordifolia,Globularia,7.1,7.1,7
Globularia nudicaulis,Globularia,7.1,7.1,7
Gymnadenia conopsea,Gymnadenia,5.4,5.4,5
Gymnadenia odoratissima,Gymnadenia,5.4,5.4,5
Gypsophila repens,Gypsophila,2.2,2.2,2
Hedysarum hedysaroides,Hedysarum,6.1a,6.1,6
Helianthemum alpestre,Helianthemum,1.1,1.1,1
Helianthemum nummularium,Helianthemum,1.1,1.1,1
Helictotrichon pubescens,Helictotrichon,0,0,0
Helleborus niger,Helleborus,1.2bf,1.2,1
Hepatica nobilis,Hepatica,1.1,1.1,1
Heracleum austriacum,Heracleum,1.2a,1.2,1
Heracleum sphondylium,Heracleum,1.2a,1.2,1
Hieracium adriaticiforme,Hieracium,7.2b,7.2,7
Hieracium anchusoides,Hieracium,7.2b,7.2,7
Hieracium angustifolium,Hieracium,7.2b,7.2,7
Hieracium apatelium,Hieracium,7.2b,7.2,7
Hieracium aridum,Hieracium,7.2b,7.2,7
Hieracium arnoserioides,Hieracium,7.2b,7.2,7
Hieracium arvicola,Hieracium,7.2b,7.2,7
Hieracium aurantiacum,Hieracium,7.2b,7.2,7
Hieracium auriculoides,Hieracium,7.2b,7.2,7
Hieracium basifurcum,Hieracium,7.2b,7.2,7
Hieracium bauhini,Hieracium,7.2b,7.2,7
Hieracium bifidum,Hieracium,7.2b,7.2,7
Hieracium bifurcum,Hieracium,7.2b,7.2,7
Hieracium brachiatum,Hieracium,7.2b,7.2,7
Hieracium brachycomum,Hieracium,7.2b,7.2,7
Hieracium caespitosum,Hieracium,7.2b,7.2,7
Hieracium calodon,Hieracium,7.2b,7.2,7
Hieracium chaetocephalum,Hieracium,7.2b,7.2,7
Hieracium chlorops,Hieracium,7.2b,7.2,7
Hieracium cinereiforme,Hieracium,7.2b,7.2,7
Hieracium cochleatum,Hieracium,7.2b,7.2,7
Hieracium cymosum,Hieracium,7.2b,7.2,7
Hieracium densiflorum,Hieracium,7.2b,7.2,7
Hieracium dubium,Hieracium,7.2b,7.2,7
Hieracium echioides,Hieracium,7.2b,7.2,7
Hieracium euchaetium,Hieracium,7.2b,7.2,7
Hieracium fallaciforme,Hieracium,7.2b,7.2,7
Hieracium fallacinum,Hieracium,7.2b,7.2,7
Hieracium fallax,Hieracium,7.2b,7.2,7
Hieracium flagellare,Hieracium,7.2b,7.2,7
Hieracium floribundum,Hieracium,7.2b,7.2,7
Hieracium fuscum,Hieracium,7.2b,7.2,7
Hieracium glomeratum,Hieracium,7.2b,7.2,7
Hieracium guthnickianum,Hieracium,7.2b,7.2,7
Hieracium heterodoxum,Hieracium,7.2b,7.2,7
Hieracium hoppeanum,Hieracium,7.2b,7.2,7
Hieracium hybridum,Hieracium,7.2b,7.2,7
Hieracium hypeuryum,Hieracium,7.2b,7.2,7
Hieracium iseranum,Hieracium,7.2b,7.2,7
Hieracium kalksburgense,Hieracium,7.2b,7.2,7
Hieracium koernickeanum,Hieracium,7.2b,7.2,7
Hieracium lactucella,Hieracium,7.2b,7.2,7
Hieracium leptoclados,Hieracium,7.2b,7.2,7
Hieracium leptophyton,Hieracium,7.2b,7.2,7
Hieracium leucense,Hieracium,7.2b,7.2,7
Hieracium longisquamum,Hieracium,7.2b,7.2,7
Hieracium macranthelum,Hieracium,7.2b,7.2,7
Hieracium macranthum,Hieracium,7.2b,7.2,7
Hieracium macrostolonum,Hieracium,7.2b,7.2,7
Hieracium montanum,Hieracium,7.2b,7.2,7
Hieracium murorum,Hieracium,7.2b,7.2,7
Hieracium nassovicum,Hieracium,7.2b,7.2,7
Hieracium niphostribes,Hieracium,7.2b,7.2,7
Hieracium nothum,Hieracium,7.2b,7.2,7
Hieracium paragogum,Hieracium,7.2b,7.2,7
Hieracium peleterianum,Hieracium,7.2b,7.2,7
Hieracium pilosella,Hieracium,7.2b,7.2,7
Hieracium piloselliflorum,Hieracium,7.2b,7.2,7
Hieracium pilosellinum,Hieracium,7.2b,7.2,7
Hieracium piloselloides,Hieracium,7.2b,7.2,7
Hieracium pilosum,Hieracium,7.2b,7.2,7
Hieracium polymastix,Hieracium,7.2b,7.2,7
Hieracium prussicum,Hieracium,7.2b,7.2,7
Hieracium pseudeffusum,Hieracium,7.2b,7.2,7
Hieracium rothianum,Hieracium,7.2b,7.2,7
Hieracium rubriflorum,Hieracium,7.2b,7.2,7
Hieracium schneidii,Hieracium,7.2b,7.2,7
Hieracium schultesii,Hieracium,7.2b,7.2,7
Hieracium sciadophorum,Hieracium,7.2b,7.2,7
Hieracium sphaerocephalum,Hieracium,7.2b,7.2,7
Hieracium spurium,Hieracium,7.2b,7.2,7
Hieracium stoloniflorum,Hieracium,7.2b,7.2,7
Hieracium substoloniflorum,Hieracium,7.2b,7.2,7
Hieracium sulphureum,Hieracium,7.2b,7.2,7
Hieracium villosum,Hieracium,7.2b,7.2,7
Hieracium viridifolium,Hieracium,7.2b,7.2,7
Hieracium visianii,Hieracium,7.2b,7.2,7
Hieracium vulgatum,Hieracium,7.2b,7.2,7
Hieracium walteri-langii,Hieracium,7.2b,7.2,7
Hieracium zizianum,Hieracium,7.2b,7.2,7
Hippocrepis comosa,Hippocrepis,6.1c,6.1,6
Holcus lanatus,Holcus,0,0,0
Homogyne alpina,Homogyne,7.2a,7.2,7
Hypericum maculatum,Hypericum,1.1,1.1,1
Hypericum perforatum,Hypericum,1.1,1.1,1
Hypericum xdesetangsii,Hypericum,1.1,1.1,1
Impatiens noli-tangere,Impatiens,5.2,5.2,5
Juncus trifidus,Juncus,0,0,0
Juniperus communis,Juniperus,0,0,0
Juniperus sibirica,Juniperus,0,0,0
Knautia arvensis,Knautia,7.1,7.1,7
Knautia dipsacifolia,Knautia,7.1,7.1,7
Knautia kitaibelii,Knautia,7.1,7.1,7
Lamium maculatum,Lamium,5.1,5.1,5
Larix decidua,Larix,0,0,0
Lathyrus pratensis,Lathyrus,6.1b,6.1,6
Leontodon hispidus,Leontodon,7.2b,7.2,7
Leucanthemum adustum,Leucanthemum,7.2c,7.2,7
Leucanthemum halleri,Leucanthemum,7.2c,7.2,7
Leucanthemum ircutianum,Leucanthemum,7.2c,7.2,7
Leucanthemum vulgare,Leucanthemum,7.2c,7.2,7
Ligusticum mutellina,Ligusticum,1.2a,1.2,1
Lilium martagon,Lilium,3.2,3.2,3
Linaria alpina,Linaria,5.3,5.3,5
Linaria vulgaris,Linaria,5.3,5.3,5
Linum catharticum,Linum,1.2bb,1.2,1
Listera ovata,Listera,5.4,5.4,5
Lolium multiflorum,Lolium,0,0,0
Lolium perenne,Lolium,0,0,0
Lotus alpinus,Lotus,6.1c,6.1,6
Lotus corniculatus,Lotus,6.1c,6.1,6
Lotus tenuis,Lotus,6.1c,6.1,6
Luzula alpina,Luzula,0,0,0
Luzula congesta,Luzula,0,0,0
Luzula divulgata,Luzula,0,0,0
Luzula glabrata,Luzula,0,0,0
Luzula luzulina,Luzula,0,0,0
Luzula multiflora,Luzula,0,0,0
Luzula pilosa,Luzula,0,0,0
Luzula sudetica,Luzula,0,0,0
Luzula sylvatica,Luzula,0,0,0
Lychnis flos-cuculi,Lychnis,4.2,4.2,4
Lysimachia nemorum,Lysimachia,1.1,1.1,1
Lysimachia nummularia,Lysimachia,1.1,1.1,1
Maianthemum bifolium,Maianthemum,1.2a,1.2,1
Malaxis monophyllos,Malaxis,5.4,5.4,5
Medicago lupulina,Medicago,6.1b,6.1,6
Melampyrum sylvaticum,Melampyrum,5.3,5.3,5
Melica nutans,Melica,0,0,0
Melica picta,Melica,0,0,0
Melica uniflora,Melica,0,0,0
Mentha arvensis,Mentha,2.2,2.2,2
Mentha longifolia,Mentha,2.2,2.2,2
Mercurialis ovata,Mercurialis,0,0,0
Mercurialis perennis,Mercurialis,0,0,0
Minuartia sedoides,Minuartia,1.2bb,1.2,1
Minuartia verna,Minuartia,1.2bb,1.2,1
Moehringia ciliata,Moehringia,1.2bb,1.2,1
Moehringia muscosa,Moehringia,1.2bb,1.2,1
Molinia arundinacea,Molinia,0,0,0
Molinia caerulea,Molinia,0,0,0
Myosotis alpestris,Myosotis,4.1,4.1,4
Myosotis decumbens,Myosotis,4.1,4.1,4
Myosotis nemorosa,Myosotis,4.1,4.1,4
Myosotis sylvatica,Myosotis,4.1,4.1,4
Nigritella rhellicani,Nigritella,7.1,7.1,7
Ophrys holoserica,Ophrys,5.4,5.4,5
Ophrys insectifera,Ophrys,5.4,5.4,5
Orchis ustulata,Orchis,5.4,5.4,5
Origanum vulgare,Origanum,5.1,5.1,5
Oxalis acetosella,Oxalis,1.2bc,1.2,1
Paris quadrifolia,Paris,1.1,1.1,1
Parnassia palustris,Parnassia,1.2a,1.2,1
Pedicularis rostratocapitata,Pedicularis,5.1,5.1,5
Pedicularis rostratospicata,Pedicularis,5.1,5.1,5
Petasites albus,Petasites,7.2a,7.2,7
Peucedanum ostruthium,Peucedanum,1.2a,1.2,1
Phleum alpinum,Phleum,0,0,0
Phleum bertolonii,Phleum,0,0,0
Phleum pratense,Phleum,0,0,0
