site,elev.mean,date,yday,bb.sp,ktype,visits,prop.visits,flower.cover,perc.flower.cover,bb.sp.abund,tongue,elev.mean0,yday0,prop.flower.cover0,bb.sp.abund0,visits.bin
ho5,1825,2010-08-21,233,muci,6,3,0.75,0.04,0.7142857142857143,4,med,1.446134818843969,1.3060766918613047,-0.46154616093797063,-0.019945187319523484,1
ho5,1825,2010-08-21,233,muci,7,1,0.25,0.14,2.5,4,med,1.446134818843969,1.3060766918613047,-0.20601863015479546,-0.019945187319523484,1
ho5,1825,2010-08-21,233,pasc,0,0,0,0.02,0.35714285714285715,1,med,1.446134818843969,1.3060766918613047,-0.5126516670946056,-0.5722460446066416,0
ho5,1825,2010-08-21,233,pasc,1,0,0,0.19,3.392857142857143,1,med,1.446134818843969,1.3060766918613047,-0.07825486476320795,-0.5722460446066416,0
ho5,1825,2010-08-21,233,pasc,2,1,1,0.08,1.4285714285714286,1,med,1.446134818843969,1.3060766918613047,-0.3593351486247006,-0.5722460446066416,1
ho5,1825,2010-08-21,233,pasc,3,0,0,0.12000000000000001,2.142857142857143,1,med,1.446134818843969,1.3060766918613047,-0.2571241363114305,-0.5722460446066416,0
ho5,1825,2010-08-21,233,pasc,4,0,0,0.03,0.5357142857142856,1,med,1.446134818843969,1.3060766918613047,-0.48709891401628813,-0.5722460446066416,0
ho5,1825,2010-08-21,233,pasc,5,0,0,0.08,1.4285714285714286,1,med,1.446134818843969,1.3060766918613047,-0.3593351486247006,-0.5722460446066416,0
ho5,1825,2010-08-21,233,pasc,6,0,0,0.04,0.7142857142857143,1,med,1.446134818843969,1.3060766918613047,-0.46154616093797063,-0.5722460446066416,0
ho5,1825,2010-08-21,233,pasc,7,0,0,0.14,2.5,1,med,1.446134818843969,1.3060766918613047,-0.20601863015479546,-0.5722460446066416,0
ho5,1825,2010-08-21,233,prat,0,0,0,0.02,0.35714285714285715,1,short,1.446134818843969,1.3060766918613047,-0.5126516670946056,-0.5722460446066416,0
ho5,1825,2010-08-21,233,prat,1,0,0,0.19,3.392857142857143,1,short,1.446134818843969,1.3060766918613047,-0.07825486476320795,-0.5722460446066416,0
ho5,1825,2010-08-21,233,prat,2,0,0,0.08,1.4285714285714286,1,short,1.446134818843969,1.3060766918613047,-0.3593351486247006,-0.5722460446066416,0
ho5,1825,2010-08-21,233,prat,3,0,0,0.12000000000000001,2.142857142857143,1,short,1.446134818843969,1.3060766918613047,-0.2571241363114305,-0.5722460446066416,0
ho5,1825,2010-08-21,233,prat,4,0,0,0.03,0.5357142857142856,1,short,1.446134818843969,1.3060766918613047,-0.48709891401628813,-0.5722460446066416,0
ho5,1825,2010-08-21,233,prat,5,0,0,0.08,1.4285714285714286,1,short,1.446134818843969,1.3060766918613047,-0.3593351486247006,-0.5722460446066416,0
ho5,1825,2010-08-21,233,prat,6,0,0,0.04,0.7142857142857143,1,short,1.446134818843969,1.3060766918613047,-0.46154616093797063,-0.5722460446066416,0
ho5,1825,2010-08-21,233,prat,7,1,1,0.14,2.5,1,short,1.446134818843969,1.3060766918613047,-0.20601863015479546,-0.5722460446066416,1
ho5,1825,2010-08-21,233,pyre,0,0,0,0.02,0.35714285714285715,1,short,1.446134818843969,1.3060766918613047,-0.5126516670946056,-0.5722460446066416,0
ho5,1825,2010-08-21,233,pyre,1,0,0,0.19,3.392857142857143,1,short,1.446134818843969,1.3060766918613047,-0.07825486476320795,-0.5722460446066416,0
ho5,1825,2010-08-21,233,pyre,2,0,0,0.08,1.4285714285714286,1,short,1.446134818843969,1.3060766918613047,-0.3593351486247006,-0.5722460446066416,0
ho5,1825,2010-08-21,233,pyre,3,1,1,0.12000000000000001,2.142857142857143,1,short,1.446134818843969,1.3060766918613047,-0.2571241363114305,-0.5722460446066416,1
ho5,1825,2010-08-21,233,pyre,4,0,0,0.03,0.5357142857142856,1,short,1.446134818843969,1.3060766918613047,-0.48709891401628813,-0.5722460446066416,0
ho5,1825,2010-08-21,233,pyre,5,0,0,0.08,1.4285714285714286,1,short,1.446134818843969,1.3060766918613047,-0.3593351486247006,-0.5722460446066416,0
ho5,1825,2010-08-21,233,pyre,6,0,0,0.04,0.7142857142857143,1,short,1.446134818843969,1.3060766918613047,-0.46154616093797063,-0.5722460446066416,0
ho5,1825,2010-08-21,233,pyre,7,0,0,0.14,2.5,1,short,1.446134818843969,1.3060766918613047,-0.20601863015479546,-0.5722460446066416,0
ho5,1825,2010-08-21,233,soro,0,0,0,0.02,0.35714285714285715,5,short,1.446134818843969,1.3060766918613047,-0.5126516670946056,0.16415509844284923,0
ho5,1825,2010-08-21,233,soro,1,0,0,0.19,3.392857142857143,5,short,1.446134818843969,1.3060766918613047,-0.07825486476320795,0.16415509844284923,0
ho5,1825,2010-08-21,233,soro,2,0,0,0.08,1.4285714285714286,5,short,1.446134818843969,1.3060766918613047,-0.3593351486247006,0.16415509844284923,0
ho5,1825,2010-08-21,233,soro,3,5,1,0.12000000000000001,2.142857142857143,5,short,1.446134818843969,1.3060766918613047,-0.2571241363114305,0.16415509844284923,1
ho5,1825,2010-08-21,233,soro,4,0,0,0.03,0.5357142857142856,5,short,1.446134818843969,1.3060766918613047,-0.48709891401628813,0.16415509844284923,0
ho5,1825,2010-08-21,233,soro,5,0,0,0.08,1.4285714285714286,5,short,1.446134818843969,1.3060766918613047,-0.3593351486247006,0.16415509844284923,0
ho5,1825,2010-08-21,233,soro,6,0,0,0.04,0.7142857142857143,5,short,1.446134818843969,1.3060766918613047,-0.46154616093797063,0.16415509844284923,0
ho5,1825,2010-08-21,233,soro,7,0,0,0.14,2.5,5,short,1.446134818843969,1.3060766918613047,-0.20601863015479546,0.16415509844284923,0
ho5,1825,2010-08-21,233,telu,0,0,0,0.02,0.35714285714285715,2,short,1.446134818843969,1.3060766918613047,-0.5126516670946056,-0.38814575884426894,0
ho5,1825,2010-08-21,233,telu,1,0,0,0.19,3.392857142857143,2,short,1.446134818843969,1.3060766918613047,-0.07825486476320795,-0.38814575884426894,0
ho5,1825,2010-08-21,233,telu,2,1,0.5,0.08,1.4285714285714286,2,short,1.446134818843969,1.3060766918613047,-0.3593351486247006,-0.38814575884426894,1
ho5,1825,2010-08-21,233,telu,3,0,0,0.12000000000000001,2.142857142857143,2,short,1.446134818843969,1.3060766918613047,-0.2571241363114305,-0.38814575884426894,0
ho5,1825,2010-08-21,233,telu,4,0,0,0.03,0.5357142857142856,2,short,1.446134818843969,1.3060766918613047,-0.48709891401628813,-0.38814575884426894,0
ho5,1825,2010-08-21,233,telu,5,0,0,0.08,1.4285714285714286,2,short,1.446134818843969,1.3060766918613047,-0.3593351486247006,-0.38814575884426894,0
ho5,1825,2010-08-21,233,telu,6,0,0,0.04,0.7142857142857143,2,short,1.446134818843969,1.3060766918613047,-0.46154616093797063,-0.38814575884426894,0
ho5,1825,2010-08-21,233,telu,7,1,0.5,0.14,2.5,2,short,1.446134818843969,1.3060766918613047,-0.20601863015479546,-0.38814575884426894,1
ho5,1825,2010-08-21,233,wurf,0,0,0,0.02,0.35714285714285715,7,med,1.446134818843969,1.3060766918613047,-0.5126516670946056,0.5323556699675946,0
