site,sp.pair,bb.sp1,bb.sp2,subgenus1,subgenus2,tongue1,tongue2,elev.mean,tongue.diff,tongue.pair,subgenus.diff,niche.overlap,level,niche.overlap.genus,niche.overlap.family,niche.overlap.ktype
h4,mont:psit,mont,psit,Pyrobombus,Psithyrus,med,short,1330,TRUE,short:med,different,0.47077259770611835,genus,0.47077259770611835,NA,NA
h4,mont:pyre,mont,pyre,Pyrobombus,Pyrobombus,med,short,1330,TRUE,short:med,same,0,genus,0,NA,NA
h4,mont:soro,mont,soro,Pyrobombus,Kallobombus,med,short,1330,TRUE,short:med,different,0.1212594489789881,genus,0.1212594489789881,NA,NA
h4,mont:telu,mont,telu,Pyrobombus,Bombus,med,short,1330,TRUE,short:med,different,0.3025758167063439,genus,0.3025758167063439,NA,NA
h4,mont:wurf,mont,wurf,Pyrobombus,Alpigenobombus,med,med,1330,FALSE,med:med,different,0.1614816469607685,genus,0.1614816469607685,NA,NA
h4,pasc:prat,pasc,prat,Thoracobombus,Pyrobombus,med,short,1330,TRUE,short:med,different,0.42644348484011807,genus,0.42644348484011807,NA,NA
h4,pasc:psit,pasc,psit,Thoracobombus,Psithyrus,med,short,1330,TRUE,short:med,different,0.09715228418164812,genus,0.09715228418164812,NA,NA
h4,pasc:pyre,pasc,pyre,Thoracobombus,Pyrobombus,med,short,1330,TRUE,short:med,different,0,genus,0,NA,NA
h4,pasc:soro,pasc,soro,Thoracobombus,Kallobombus,med,short,1330,TRUE,short:med,different,0.22112493906860697,genus,0.22112493906860697,NA,NA
h4,pasc:telu,pasc,telu,Thoracobombus,Bombus,med,short,1330,TRUE,short:med,different,0.2942270457983679,genus,0.2942270457983679,NA,NA
h4,pasc:wurf,pasc,wurf,Thoracobombus,Alpigenobombus,med,med,1330,FALSE,med:med,different,0.4440800150641203,genus,0.4440800150641203,NA,NA
h4,prat:psit,prat,psit,Pyrobombus,Psithyrus,short,short,1330,FALSE,short:short,different,0.2350406645359292,genus,0.2350406645359292,NA,NA
h4,prat:pyre,prat,pyre,Pyrobombus,Pyrobombus,short,short,1330,FALSE,short:short,same,0,genus,0,NA,NA
h4,prat:soro,prat,soro,Pyrobombus,Kallobombus,short,short,1330,FALSE,short:short,different,0.594731816240955,genus,0.594731816240955,NA,NA
h4,prat:telu,prat,telu,Pyrobombus,Bombus,short,short,1330,FALSE,short:short,different,0.5044249177245836,genus,0.5044249177245836,NA,NA
h4,prat:wurf,prat,wurf,Pyrobombus,Alpigenobombus,short,med,1330,TRUE,short:med,different,0.6189728180866457,genus,0.6189728180866457,NA,NA
h4,psit:pyre,psit,pyre,Psithyrus,Pyrobombus,short,short,1330,FALSE,short:short,different,0,genus,0,NA,NA
h4,psit:soro,psit,soro,Psithyrus,Kallobombus,short,short,1330,FALSE,short:short,different,0.2579239400437855,genus,0.2579239400437855,NA,NA
h4,psit:telu,psit,telu,Psithyrus,Bombus,short,short,1330,FALSE,short:short,different,0.4578551663673439,genus,0.4578551663673439,NA,NA
h4,psit:wurf,psit,wurf,Psithyrus,Alpigenobombus,short,med,1330,TRUE,short:med,different,0.14693635116206194,genus,0.14693635116206194,NA,NA
h4,pyre:soro,pyre,soro,Pyrobombus,Kallobombus,short,short,1330,FALSE,short:short,different,0.17012510942305004,genus,0.17012510942305004,NA,NA
h4,pyre:telu,pyre,telu,Pyrobombus,Bombus,short,short,1330,FALSE,short:short,different,0,genus,0,NA,NA
h4,pyre:wurf,pyre,wurf,Pyrobombus,Alpigenobombus,short,med,1330,TRUE,short:med,different,0,genus,0,NA,NA
h4,soro:telu,soro,telu,Kallobombus,Bombus,short,short,1330,FALSE,short:short,different,0.5832354478140527,genus,0.5832354478140527,NA,NA
h4,soro:wurf,soro,wurf,Kallobombus,Alpigenobombus,short,med,1330,TRUE,short:med,different,0.49145174621650134,genus,0.49145174621650134,NA,NA
h4,telu:wurf,telu,wurf,Bombus,Alpigenobombus,short,med,1330,TRUE,short:med,different,0.472594775039352,genus,0.472594775039352,NA,NA
ho1,gers:hort,gers,hort,Megabombus,Megabombus,long,long,841,FALSE,long:long,same,0.3458475540386803,genus,0.3458475540386803,NA,NA
ho1,gers:hypn,gers,hypn,Megabombus,Pyrobombus,long,med,841,TRUE,med:long,different,0,genus,0,NA,NA
ho1,gers:pasc,gers,pasc,Megabombus,Thoracobombus,long,med,841,TRUE,med:long,different,0.13747261160192437,genus,0.13747261160192437,NA,NA
ho1,gers:prat,gers,prat,Megabombus,Pyrobombus,long,short,841,TRUE,short:long,different,0,genus,0,NA,NA
ho1,gers:psit,gers,psit,Megabombus,Psithyrus,long,short,841,TRUE,short:long,different,0,genus,0,NA,NA
ho1,gers:soro,gers,soro,Megabombus,Kallobombus,long,short,841,TRUE,short:long,different,0,genus,0,NA,NA
ho1,gers:telu,gers,telu,Megabombus,Bombus,long,short,841,TRUE,short:long,different,0.10380818053596619,genus,0.10380818053596619,NA,NA
ho1,gers:wurf,gers,wurf,Megabombus,Alpigenobombus,long,med,841,TRUE,med:long,different,0.9523809523809523,genus,0.9523809523809523,NA,NA
ho1,hort:hypn,hort,hypn,Megabombus,Pyrobombus,long,med,841,TRUE,med:long,different,0,genus,0,NA,NA
ho1,hort:pasc,hort,pasc,Megabombus,Thoracobombus,long,med,841,TRUE,med:long,different,0.548337003982419,genus,0.548337003982419,NA,NA
ho1,hort:prat,hort,prat,Megabombus,Pyrobombus,long,short,841,TRUE,short:long,different,0.361589836870855,genus,0.361589836870855,NA,NA
ho1,hort:psit,hort,psit,Megabombus,Psithyrus,long,short,841,TRUE,short:long,different,0.2624957914761429,genus,0.2624957914761429,NA,NA
ho1,hort:soro,hort,soro,Megabombus,Kallobombus,long,short,841,TRUE,short:long,different,0.4777870913663036,genus,0.4777870913663036,NA,NA
ho1,hort:telu,hort,telu,Megabombus,Bombus,long,short,841,TRUE,short:long,different,0.19278237489884886,genus,0.19278237489884886,NA,NA
ho1,hort:wurf,hort,wurf,Megabombus,Alpigenobombus,long,med,841,TRUE,med:long,different,0.4926230014198407,genus,0.4926230014198407,NA,NA
ho1,hypn:pasc,hypn,pasc,Pyrobombus,Thoracobombus,med,med,841,FALSE,med:med,different,0.13044739968588037,genus,0.13044739968588037,NA,NA
ho1,hypn:prat,hypn,prat,Pyrobombus,Pyrobombus,med,short,841,TRUE,short:med,same,0,genus,0,NA,NA
ho1,hypn:psit,hypn,psit,Pyrobombus,Psithyrus,med,short,841,TRUE,short:med,different,0.14443625644804714,genus,0.14443625644804714,NA,NA
ho1,hypn:soro,hypn,soro,Pyrobombus,Kallobombus,med,short,841,TRUE,short:med,different,0,genus,0,NA,NA
ho1,hypn:telu,hypn,telu,Pyrobombus,Bombus,med,short,841,TRUE,short:med,different,0.15571227080394923,genus,0.15571227080394923,NA,NA
ho1,hypn:wurf,hypn,wurf,Pyrobombus,Alpigenobombus,med,med,841,FALSE,med:med,different,0,genus,0,NA,NA
ho1,pasc:prat,pasc,prat,Thoracobombus,Pyrobombus,med,short,841,TRUE,short:med,different,0.2710062224408136,genus,0.2710062224408136,NA,NA
ho1,pasc:psit,pasc,psit,Thoracobombus,Psithyrus,med,short,841,TRUE,short:med,different,0.31700840235157934,genus,0.31700840235157934,NA,NA
ho1,pasc:soro,pasc,soro,Thoracobombus,Kallobombus,med,short,841,TRUE,short:med,different,0.17949520492343274,genus,0.17949520492343274,NA,NA
ho1,pasc:telu,pasc,telu,Thoracobombus,Bombus,med,short,841,TRUE,short:med,different,0.3795676036619271,genus,0.3795676036619271,NA,NA
ho1,pasc:wurf,pasc,wurf,Thoracobombus,Alpigenobombus,med,med,841,FALSE,med:med,different,0.217268094614813,genus,0.217268094614813,NA,NA
ho1,prat:psit,prat,psit,Pyrobombus,Psithyrus,short,short,841,FALSE,short:short,different,0.16334515499355873,genus,0.16334515499355873,NA,NA
ho1,prat:soro,prat,soro,Pyrobombus,Kallobombus,short,short,841,FALSE,short:short,different,0.6680298793974043,genus,0.6680298793974043,NA,NA
ho1,prat:telu,prat,telu,Pyrobombus,Bombus,short,short,841,FALSE,short:short,different,0.5032765399737877,genus,0.5032765399737877,NA,NA
ho1,prat:wurf,prat,wurf,Pyrobombus,Alpigenobombus,short,med,841,TRUE,short:med,different,0,genus,0,NA,NA
ho1,psit:soro,psit,soro,Psithyrus,Kallobombus,short,short,841,FALSE,short:short,different,0.17604790419161676,genus,0.17604790419161676,NA,NA
ho1,psit:telu,psit,telu,Psithyrus,Bombus,short,short,841,FALSE,short:short,different,0.29427570794057845,genus,0.29427570794057845,NA,NA
ho1,psit:wurf,psit,wurf,Psithyrus,Alpigenobombus,short,med,841,TRUE,short:med,different,0.08058879157929366,genus,0.08058879157929366,NA,NA
ho1,soro:telu,soro,telu,Kallobombus,Bombus,short,short,841,FALSE,short:short,different,0.45066480055983216,genus,0.45066480055983216,NA,NA
