site,elev,sp.pair,bb.sp1,bb.sp2,bb.sp1.abund,bb.sp2.abund,niche.overlap,same.class,log.bb.sp1.abund,log.bb.sp2.abund
h6,180.8,jone_mend,jone,mend,3,6,0,short:long,1.0986122886681098,1.791759469228055
h6,180.8,jone_mont,jone,mont,3,6,0,short:med,1.0986122886681098,1.791759469228055
h6,180.8,jone_pasc,jone,pasc,3,5,0,short:med,1.0986122886681098,1.6094379124341003
h6,180.8,jone_prat,jone,prat,3,16,0.1409691629955947,short:short,1.0986122886681098,2.772588722239781
h6,180.8,jone_psit,jone,psit,3,1,0,short:short,1.0986122886681098,0
h6,180.8,jone_pyre,jone,pyre,3,5,0.21739130434782616,short:short,1.0986122886681098,1.6094379124341003
h6,180.8,jone_soro,jone,soro,3,27,0.2038834951456311,short:short,1.0986122886681098,3.295836866004329
h6,180.8,jone_telu,jone,telu,3,57,0.5461672473867596,short:short,1.0986122886681098,4.04305126783455
h6,180.8,jone_wurf,jone,wurf,3,46,0.03538461538461535,short:med,1.0986122886681098,3.828641396489095
h6,180.8,mend_mont,mend,mont,6,6,0,med:long,1.791759469228055,1.791759469228055
h6,180.8,mend_pasc,mend,pasc,6,5,0.4316546762589928,med:long,1.791759469228055,1.6094379124341003
h6,180.8,mend_prat,mend,prat,6,16,0,short:long,1.791759469228055,2.772588722239781
h6,180.8,mend_psit,mend,psit,6,1,0,short:long,1.791759469228055,0
h6,180.8,mend_pyre,mend,pyre,6,5,0,short:long,1.791759469228055,1.6094379124341003
h6,180.8,mend_soro,mend,soro,6,27,0,short:long,1.791759469228055,3.295836866004329
h6,180.8,mend_telu,mend,telu,6,57,0.15109343936381703,short:long,1.791759469228055,4.04305126783455
h6,180.8,mend_wurf,mend,wurf,6,46,0.8350141185962081,med:long,1.791759469228055,3.828641396489095
h6,180.8,mont_pasc,mont,pasc,6,5,0,med:med,1.791759469228055,1.6094379124341003
h6,180.8,mont_prat,mont,prat,6,16,0,short:med,1.791759469228055,2.772588722239781
h6,180.8,mont_psit,mont,psit,6,1,0,short:med,1.791759469228055,0
h6,180.8,mont_pyre,mont,pyre,6,5,0,short:med,1.791759469228055,1.6094379124341003
h6,180.8,mont_soro,mont,soro,6,27,0,short:med,1.791759469228055,3.295836866004329
h6,180.8,mont_telu,mont,telu,6,57,0.06696035242290743,short:med,1.791759469228055,4.04305126783455
h6,180.8,mont_wurf,mont,wurf,6,46,0.08820709491850431,med:med,1.791759469228055,3.828641396489095
h6,180.8,pasc_prat,pasc,prat,5,16,0,short:med,1.6094379124341003,2.772588722239781
h6,180.8,pasc_psit,pasc,psit,5,1,0,short:med,1.6094379124341003,0
h6,180.8,pasc_pyre,pasc,pyre,5,5,0,short:med,1.6094379124341003,1.6094379124341003
h6,180.8,pasc_soro,pasc,soro,5,27,0,short:med,1.6094379124341003,3.295836866004329
h6,180.8,pasc_telu,pasc,telu,5,57,0.053297178522172084,short:med,1.6094379124341003,4.04305126783455
h6,180.8,pasc_wurf,pasc,wurf,5,46,0,med:med,1.6094379124341003,3.828641396489095
h6,180.8,prat_psit,prat,psit,16,1,0,short:short,2.772588722239781,0
h6,180.8,prat_pyre,prat,pyre,16,5,0.23242300987797793,short:short,2.772588722239781,1.6094379124341003
h6,180.8,prat_soro,prat,soro,16,27,0.21582913526791292,short:short,2.772588722239781,3.295836866004329
h6,180.8,prat_telu,prat,telu,16,57,0.048643520864367296,short:short,2.772588722239781,4.04305126783455
h6,180.8,prat_wurf,prat,wurf,16,46,0.014616805354199403,short:med,2.772588722239781,3.828641396489095
h6,180.8,psit_pyre,psit,pyre,1,5,0,short:short,0,1.6094379124341003
h6,180.8,psit_soro,psit,soro,1,27,0,short:short,0,3.295836866004329
h6,180.8,psit_telu,psit,telu,1,57,0,short:short,0,4.04305126783455
h6,180.8,psit_wurf,psit,wurf,1,46,0,short:med,0,3.828641396489095
h6,180.8,pyre_soro,pyre,soro,5,27,0.8019063406547866,short:short,1.6094379124341003,3.295836866004329
h6,180.8,pyre_telu,pyre,telu,5,57,0,short:short,1.6094379124341003,4.04305126783455
h6,180.8,pyre_wurf,pyre,wurf,5,46,0.022709320695102675,short:med,1.6094379124341003,3.828641396489095
h6,180.8,soro_telu,soro,telu,27,57,0,short:short,3.295836866004329,4.04305126783455
h6,180.8,soro_wurf,soro,wurf,27,46,0.022539198606271738,short:med,3.295836866004329,3.828641396489095
h6,180.8,telu_wurf,telu,wurf,57,46,0.22195209491626433,short:med,4.04305126783455,3.828641396489095
h7,198.4,hort_jone,hort,jone,17,1,0.08900523560209428,short:long,2.833213344056216,0
h7,198.4,hort_mend,hort,mend,17,9,0.3374503749448611,long:long,2.833213344056216,2.1972245773362196
h7,198.4,hort_mont,hort,mont,17,11,0.29037267080745344,med:long,2.833213344056216,2.3978952727983707
h7,198.4,hort_pasc,hort,pasc,17,1,0.17801047120418845,med:long,2.833213344056216,0
h7,198.4,hort_prat,hort,prat,17,1,0.17801047120418845,short:long,2.833213344056216,0
h7,198.4,hort_psit,hort,psit,17,1,0,short:long,2.833213344056216,0
h7,198.4,hort_pyre,hort,pyre,17,9,0.0829380674888196,short:long,2.833213344056216,2.1972245773362196
h7,198.4,hort_soro,hort,soro,17,23,0.18831031227725448,short:long,2.833213344056216,3.1354942159291497
h7,198.4,hort_telu,hort,telu,17,124,0.24150343997085044,short:long,2.833213344056216,4.820281565605037
h7,198.4,hort_wurf,hort,wurf,17,36,0.6202565295407722,med:long,2.833213344056216,3.58351893845611
h7,198.4,jone_mend,jone,mend,1,9,0,short:long,0,2.1972245773362196
h7,198.4,jone_mont,jone,mont,1,11,0.3142857142857143,short:med,0,2.3978952727983707
h7,198.4,jone_pasc,jone,pasc,1,1,0,short:med,0,0
h7,198.4,jone_prat,jone,prat,1,1,0,short:short,0,0
h7,198.4,jone_psit,jone,psit,1,1,0,short:short,0,0
h7,198.4,jone_pyre,jone,pyre,1,9,0,short:short,0,2.1972245773362196
h7,198.4,jone_soro,jone,soro,1,23,0,short:short,0,3.1354942159291497
h7,198.4,jone_telu,jone,telu,1,124,0.3089589426930994,short:short,0,4.820281565605037
h7,198.4,jone_wurf,jone,wurf,1,36,0,short:med,0,3.58351893845611
h7,198.4,mend_mont,mend,mont,9,11,0.24264705882352944,med:long,2.1972245773362196,2.3978952727983707
h7,198.4,mend_pasc,mend,pasc,9,1,0.5294117647058824,med:long,2.1972245773362196,0
h7,198.4,mend_prat,mend,prat,9,1,0,short:long,2.1972245773362196,0
h7,198.4,mend_psit,mend,psit,9,1,0,short:long,2.1972245773362196,0
h7,198.4,mend_pyre,mend,pyre,9,9,0.26086956521739135,short:long,2.1972245773362196,2.1972245773362196
h7,198.4,mend_soro,mend,soro,9,23,0.031342266636384286,short:long,2.1972245773362196,3.1354942159291497
h7,198.4,mend_telu,mend,telu,9,124,0.05454716842799834,short:long,2.1972245773362196,4.820281565605037
h7,198.4,mend_wurf,mend,wurf,9,36,0.7021276595744681,med:long,2.1972245773362196,3.58351893845611
h7,198.4,mont_pasc,mont,pasc,11,1,0.15714285714285714,med:med,2.3978952727983707,0
h7,198.4,mont_prat,mont,prat,11,1,0,short:med,2.3978952727983707,0
h7,198.4,mont_psit,mont,psit,11,1,0,short:med,2.3978952727983707,0
h7,198.4,mont_pyre,mont,pyre,11,9,0.3470639789658194,short:med,2.3978952727983707,2.1972245773362196
h7,198.4,mont_soro,mont,soro,11,23,0.23055893074119072,short:med,2.3978952727983707,3.1354942159291497
h7,198.4,mont_telu,mont,telu,11,124,0.3320081135902636,short:med,2.3978952727983707,4.820281565605037
h7,198.4,mont_wurf,mont,wurf,11,36,0.3275346851654215,med:med,2.3978952727983707,3.58351893845611
h7,198.4,pasc_prat,pasc,prat,1,1,0,short:med,0,0
h7,198.4,pasc_psit,pasc,psit,1,1,0,short:med,0,0
h7,198.4,pasc_pyre,pasc,pyre,1,9,0.3396226415094339,short:med,0,2.1972245773362196
h7,198.4,pasc_soro,pasc,soro,1,23,0,short:med,0,3.1354942159291497
h7,198.4,pasc_telu,pasc,telu,1,124,0.02686599501679121,short:med,0,4.820281565605037
h7,198.4,pasc_wurf,pasc,wurf,1,36,0.7570093457943925,med:med,0,3.58351893845611
h7,198.4,prat_psit,prat,psit,1,1,0,short:short,0,0
h7,198.4,prat_pyre,prat,pyre,1,9,0,short:short,0,2.1972245773362196
h7,198.4,prat_soro,prat,soro,1,23,0.19220055710306405,short:short,0,3.1354942159291497
h7,198.4,prat_telu,prat,telu,1,124,0.05373199003358253,short:short,0,4.820281565605037
h7,198.4,prat_wurf,prat,wurf,1,36,0.08411214953271029,short:med,0,3.58351893845611
h7,198.4,psit_pyre,psit,pyre,1,9,0,short:short,0,2.1972245773362196
h7,198.4,psit_soro,psit,soro,1,23,0,short:short,0,3.1354942159291497
h7,198.4,psit_telu,psit,telu,1,124,0,short:short,0,4.820281565605037
h7,198.4,psit_wurf,psit,wurf,1,36,0,short:med,0,3.58351893845611
h7,198.4,pyre_soro,pyre,soro,9,23,0.40625219036938387,short:short,2.1972245773362196,3.1354942159291497
h7,198.4,pyre_telu,pyre,telu,9,124,0.02111084137548358,short:short,2.1972245773362196,4.820281565605037
h7,198.4,pyre_wurf,pyre,wurf,9,36,0.37254901960784315,short:med,2.1972245773362196,3.58351893845611
h7,198.4,soro_telu,soro,telu,23,124,0.052785047585598766,short:short,3.1354942159291497,4.820281565605037
h7,198.4,soro_wurf,soro,wurf,23,36,0.1317654750025805,short:med,3.1354942159291497,3.58351893845611
h7,198.4,telu_wurf,telu,wurf,124,36,0.11078551178775575,short:med,4.820281565605037,3.58351893845611
