site,date,yday,elev.mean,sp.pair,bb.sp1,bb.sp2,bb.sp1.abund,bb.sp2.abund,niche.overlap,same.class,log.bb.sp1.abund,log.bb.sp2.abund
wma1,2012-03-28,88,766,pasc_wurf,pasc,wurf,1,1,1,med:med,0,0
wmb1,2012-04-23,114,960,hort_mont,hort,mont,1,1,1,med:long,0,0
wmb1,2012-04-23,114,960,hort_pasc,hort,pasc,1,1,0,med:long,0,0
wmb1,2012-04-23,114,960,hort_telu,hort,telu,1,4,1,short:long,0,1.3862943611198906
wmb1,2012-04-23,114,960,mont_pasc,mont,pasc,1,1,0,med:med,0,0
wmb1,2012-04-23,114,960,mont_telu,mont,telu,1,4,1,short:med,0,1.3862943611198906
wmb1,2012-04-23,114,960,pasc_telu,pasc,telu,1,4,0,short:med,0,1.3862943611198906
wmb1,2012-04-25,116,960,hort_pasc,hort,pasc,2,2,0,med:long,0.6931471805599453,0.6931471805599453
wmb1,2012-04-25,116,960,hort_prat,hort,prat,2,2,1,short:long,0.6931471805599453,0.6931471805599453
wmb1,2012-04-25,116,960,hort_telu,hort,telu,2,10,0.4285714285714285,short:long,0.6931471805599453,2.302585092994046
wmb1,2012-04-25,116,960,hort_wurf,hort,wurf,2,1,0.33333333333333337,med:long,0.6931471805599453,0
wmb1,2012-04-25,116,960,pasc_prat,pasc,prat,2,2,0,short:med,0.6931471805599453,0.6931471805599453
wmb1,2012-04-25,116,960,pasc_telu,pasc,telu,2,10,0.05263157894736836,short:med,0.6931471805599453,2.302585092994046
wmb1,2012-04-25,116,960,pasc_wurf,pasc,wurf,2,1,0,med:med,0.6931471805599453,0
wmb1,2012-04-25,116,960,prat_telu,prat,telu,2,10,0.4285714285714285,short:short,0.6931471805599453,2.302585092994046
wmb1,2012-04-25,116,960,prat_wurf,prat,wurf,2,1,0.33333333333333337,short:med,0.6931471805599453,0
wmb1,2012-04-25,116,960,telu_wurf,telu,wurf,10,1,0.6666666666666667,short:med,2.302585092994046,0
h3,2011-06-22,173,1105,hort_jone,hort,jone,3,3,0.4999999999999999,short:long,1.0986122886681098,1.0986122886681098
h3,2011-06-22,173,1105,hort_pasc,hort,pasc,3,8,0.7142857142857142,med:long,1.0986122886681098,2.0794415416798357
h3,2011-06-22,173,1105,hort_prat,hort,prat,3,1,0.19999999999999996,short:long,1.0986122886681098,0
h3,2011-06-22,173,1105,hort_soro,hort,soro,3,5,0.875,short:long,1.0986122886681098,1.6094379124341003
h3,2011-06-22,173,1105,hort_telu,hort,telu,3,10,0.875,short:long,1.0986122886681098,2.302585092994046
h3,2011-06-22,173,1105,hort_wurf,hort,wurf,3,9,0.5,med:long,1.0986122886681098,2.1972245773362196
h3,2011-06-22,173,1105,jone_pasc,jone,pasc,3,8,0.33333333333333337,short:med,1.0986122886681098,2.0794415416798357
h3,2011-06-22,173,1105,jone_prat,jone,prat,3,1,0,short:short,1.0986122886681098,0
h3,2011-06-22,173,1105,jone_soro,jone,soro,3,5,0.4285714285714285,short:short,1.0986122886681098,1.6094379124341003
h3,2011-06-22,173,1105,jone_telu,jone,telu,3,10,0.4285714285714285,short:short,1.0986122886681098,2.302585092994046
h3,2011-06-22,173,1105,jone_wurf,jone,wurf,3,9,0.19999999999999996,short:med,1.0986122886681098,2.1972245773362196
h3,2011-06-22,173,1105,pasc_prat,pasc,prat,8,1,0.33333333333333337,short:med,2.0794415416798357,0
h3,2011-06-22,173,1105,pasc_soro,pasc,soro,8,5,0.8181818181818182,short:med,2.0794415416798357,1.6094379124341003
h3,2011-06-22,173,1105,pasc_telu,pasc,telu,8,10,0.8181818181818182,short:med,2.0794415416798357,2.302585092994046
h3,2011-06-22,173,1105,pasc_wurf,pasc,wurf,8,9,0.7142857142857142,med:med,2.0794415416798357,2.1972245773362196
h3,2011-06-22,173,1105,prat_soro,prat,soro,1,5,0.2500000000000001,short:short,0,1.6094379124341003
h3,2011-06-22,173,1105,prat_telu,prat,telu,1,10,0.2500000000000001,short:short,0,2.302585092994046
h3,2011-06-22,173,1105,prat_wurf,prat,wurf,1,9,0.4999999999999999,short:med,0,2.1972245773362196
h3,2011-06-22,173,1105,soro_telu,soro,telu,5,10,1,short:short,1.6094379124341003,2.302585092994046
h3,2011-06-22,173,1105,soro_wurf,soro,wurf,5,9,0.5789473684210527,short:med,1.6094379124341003,2.1972245773362196
h3,2011-06-22,173,1105,telu_wurf,telu,wurf,10,9,0.5789473684210527,short:med,2.302585092994046,2.1972245773362196
h5,2011-06-22,173,1579,hort_jone,hort,jone,4,5,0.2499999999999999,short:long,1.3862943611198906,1.6094379124341003
h5,2011-06-22,173,1579,hort_mont,hort,mont,4,22,0.49152542372881347,med:long,1.3862943611198906,3.091042453358316
h5,2011-06-22,173,1579,hort_pasc,hort,pasc,4,4,0.33333333333333337,med:long,1.3862943611198906,1.3862943611198906
h5,2011-06-22,173,1579,hort_prat,hort,prat,4,10,0.1428571428571429,short:long,1.3862943611198906,2.302585092994046
h5,2011-06-22,173,1579,hort_psit,hort,psit,4,1,0,short:long,1.3862943611198906,0
h5,2011-06-22,173,1579,hort_pyre,hort,pyre,4,1,0,short:long,1.3862943611198906,0
h5,2011-06-22,173,1579,hort_soro,hort,soro,4,11,0.2753623188405797,short:long,1.3862943611198906,2.3978952727983707
h5,2011-06-22,173,1579,hort_telu,hort,telu,4,27,0.16756756756756763,short:long,1.3862943611198906,3.295836866004329
h5,2011-06-22,173,1579,hort_wurf,hort,wurf,4,2,0.33333333333333337,med:long,1.3862943611198906,0.6931471805599453
h5,2011-06-22,173,1579,jone_mont,jone,mont,5,22,0.36645962732919257,short:med,1.6094379124341003,3.091042453358316
h5,2011-06-22,173,1579,jone_pasc,jone,pasc,5,4,0.11111111111111105,short:med,1.6094379124341003,1.3862943611198906
h5,2011-06-22,173,1579,jone_prat,jone,prat,5,10,0.17647058823529405,short:short,1.6094379124341003,2.302585092994046
h5,2011-06-22,173,1579,jone_psit,jone,psit,5,1,0,short:short,1.6094379124341003,0
h5,2011-06-22,173,1579,jone_pyre,jone,pyre,5,1,0,short:short,1.6094379124341003,0
h5,2011-06-22,173,1579,jone_soro,jone,soro,5,11,0.17021276595744672,short:short,1.6094379124341003,2.3978952727983707
h5,2011-06-22,173,1579,jone_telu,jone,telu,5,27,0.27962085308056883,short:short,1.6094379124341003,3.295836866004329
h5,2011-06-22,173,1579,jone_wurf,jone,wurf,5,2,0.11111111111111105,short:med,1.6094379124341003,0.6931471805599453
h5,2011-06-22,173,1579,mont_pasc,mont,pasc,22,4,0.1578947368421052,med:med,3.091042453358316,1.3862943611198906
