site,elev.mean,date,yday,ktype,visits,prop.visits,bb.abund,perc.flower.cover,elev.mean0,yday0,prop.flower.cover0,bb.abund0,visits.bin,year
ho1,841,2012-04-19,110,0,1,0.14285714285714285,7,12.903225806451612,-1.1070955846951966,-2.170470206580882,-0.07680213831435316,-0.4873851820856145,1,2012
ho1,841,2012-04-19,110,1,2,0.2857142857142857,7,48.38709677419356,-1.1070955846951966,-2.170470206580882,1.831648118791948,-0.4873851820856145,1,2012
ho1,841,2012-04-19,110,4,4,0.5714285714285714,7,25.806451612903224,-1.1070955846951966,-2.170470206580882,0.6171797733606653,-0.4873851820856145,1,2012
ho1,841,2012-04-19,110,5,0,0,7,6.451612903225806,-1.1070955846951966,-2.170470206580882,-0.42379309415186245,-0.4873851820856145,0,2012
ho1,841,2012-04-19,110,7,0,0,7,6.451612903225806,-1.1070955846951966,-2.170470206580882,-0.42379309415186245,-0.4873851820856145,0,2012
ho1,841,2012-04-23,114,0,0,0,8,12.499999999999996,-1.1070955846951966,-2.0583559778033518,-0.09848907305419763,-0.42603678932677636,0,2012
ho1,841,2012-04-23,114,1,5,0.625,8,47.5,-1.1070955846951966,-2.0583559778033518,1.7839368623642904,-0.42603678932677636,1,2012
ho1,841,2012-04-23,114,4,2,0.25,8,25,-1.1070955846951966,-2.0583559778033518,0.5738059038809767,-0.42603678932677636,1,2012
ho1,841,2012-04-23,114,5,0,0,8,7.499999999999998,-1.1070955846951966,-2.0583559778033518,-0.36740706382826727,-0.42603678932677636,0,2012
ho1,841,2012-04-23,114,7,1,0.125,8,7.499999999999998,-1.1070955846951966,-2.0583559778033518,-0.36740706382826727,-0.42603678932677636,1,2012
ho1,841,2012-04-29,120,0,0,0,9,21.21212121212121,-1.1070955846951966,-1.890184634637057,0.37008015329456034,-0.3646883965679383,0,2012
ho1,841,2012-04-29,120,1,3,0.3333333333333333,9,46.96969696969697,-1.1070955846951966,-1.890184634637057,1.7554152572821917,-0.3646883965679383,1,2012
ho1,841,2012-04-29,120,3,1,0.1111111111111111,9,1.5151515151515151,-1.1070955846951966,-1.890184634637057,-0.6892937497548051,-0.3646883965679383,1,2012
ho1,841,2012-04-29,120,4,5,0.5555555555555556,9,18.181818181818183,-1.1070955846951966,-1.890184634637057,0.2070995528254272,-0.3646883965679383,1,2012
ho1,841,2012-04-29,120,5,0,0,9,4.545454545454545,-1.1070955846951966,-1.890184634637057,-0.5263131492856721,-0.3646883965679383,0,2012
ho1,841,2012-04-29,120,7,0,0,9,7.575757575757576,-1.1070955846951966,-1.890184634637057,-0.3633325488165388,-0.3646883965679383,0,2012
ho1,841,2012-05-02,123,0,0,0,7,19.191919191919187,-1.1070955846951966,-1.8060989630539095,0.26142641964847135,-0.4873851820856145,0,2012
ho1,841,2012-05-02,123,1,0,0,7,47.474747474747474,-1.1070955846951966,-1.8060989630539095,1.782578690693714,-0.4873851820856145,0,2012
ho1,841,2012-05-02,123,4,1,0.14285714285714285,7,11.11111111111111,-1.1070955846951966,-1.8060989630539095,-0.17318851493588353,-0.4873851820856145,1,2012
ho1,841,2012-05-02,123,5,4,0.5714285714285714,7,5.05050505050505,-1.1070955846951966,-1.8060989630539095,-0.4991497158741498,-0.4873851820856145,1,2012
ho1,841,2012-05-02,123,6,1,0.14285714285714285,7,4.04040404040404,-1.1070955846951966,-1.8060989630539095,-0.5534765826971941,-0.4873851820856145,1,2012
ho1,841,2012-05-02,123,7,1,0.14285714285714285,7,13.13131313131313,-1.1070955846951966,-1.8060989630539095,-0.06453478128979481,-0.4873851820856145,1,2012
ho1,841,2012-05-07,128,0,0,0,10,15.957446808510637,-1.1070955846951966,-1.665956177081997,0.08746485673638252,-0.30334000380910014,0,2012
ho1,841,2012-05-07,128,1,0,0,10,18.61702127659574,-1.1070955846951966,-1.665956177081997,0.2305063411906748,-0.30334000380910014,0,2012
ho1,841,2012-05-07,128,4,0,0,10,2.127659574468085,-1.1070955846951966,-1.665956177081997,-0.6563508624259378,-0.30334000380910014,0,2012
ho1,841,2012-05-07,128,5,1,0.1,10,4.25531914893617,-1.1070955846951966,-1.665956177081997,-0.5419176748625039,-0.30334000380910014,1,2012
ho1,841,2012-05-07,128,6,0,0,10,2.6595744680851063,-1.1070955846951966,-1.665956177081997,-0.6277425655350793,-0.30334000380910014,0,2012
ho1,841,2012-05-07,128,7,9,0.9,10,56.38297872340425,-1.1070955846951966,-1.665956177081997,2.261695420441627,-0.30334000380910014,1,2012
ho1,841,2012-05-10,131,0,0,0,18.5,13.200000000000001,-1.1070955846951966,-1.5818705054988498,-0.060840554345827684,0.21812133464102373,0,2012
ho1,841,2012-05-10,131,1,1,0.05405405405405406,18.5,13.200000000000001,-1.1070955846951966,-1.5818705054988498,-0.060840554345827684,0.21812133464102373,1,2012
ho1,841,2012-05-10,131,3,0,0,18.5,0.4,-1.1070955846951966,-1.5818705054988498,-0.749270610727446,0.21812133464102373,0,2012
ho1,841,2012-05-10,131,4,0,0,18.5,1.2,-1.1070955846951966,-1.5818705054988498,-0.7062437322035949,0.21812133464102373,0,2012
ho1,841,2012-05-10,131,5,2,0.10810810810810811,18.5,6.4,-1.1070955846951966,-1.5818705054988498,-0.4265690217985625,0.21812133464102373,1,2012
ho1,841,2012-05-10,131,6,0,0,18.5,2.4,-1.1070955846951966,-1.5818705054988498,-0.6417034144178183,0.21812133464102373,0,2012
ho1,841,2012-05-10,131,7,15,0.8378378378378378,18.5,63.2,-1.1070955846951966,-1.5818705054988498,2.6283393533948693,0.21812133464102373,1,2012
ho1,841,2012-05-17,138,0,0,0,9,23.89937106918239,-1.1070955846951966,-1.3856706051381722,0.5146101197483199,-0.3646883965679383,0,2012
ho1,841,2012-05-17,138,1,0,0,9,24.528301886792452,-1.1070955846951966,-1.3856706051381722,0.5484362821098381,-0.3646883965679383,0,2012
ho1,841,2012-05-17,138,3,0,0,9,0.6289308176100629,-1.1070955846951966,-1.3856706051381722,-0.7369578876278535,-0.3646883965679383,0,2012
ho1,841,2012-05-17,138,4,0,0,9,1.8867924528301887,-1.1070955846951966,-1.3856706051381722,-0.6693055629048171,-0.3646883965679383,0,2012
ho1,841,2012-05-17,138,5,4,0.4444444444444444,9,8.805031446540879,-1.1070955846951966,-1.3856706051381722,-0.297217776928117,-0.3646883965679383,1,2012
ho1,841,2012-05-17,138,6,1,0.1111111111111111,9,5.660377358490566,-1.1070955846951966,-1.3856706051381722,-0.46634858873570795,-0.3646883965679383,1,2012
ho1,841,2012-05-17,138,7,4,0.4444444444444444,9,34.59119496855346,-1.1070955846951966,-1.3856706051381722,1.0896548798941295,-0.3646883965679383,1,2012
ho1,841,2012-05-21,142,0,0,0,5,23.636363636363637,-1.1070955846951966,-1.2735563763606423,0.5004646336698668,-0.6100819676032907,0,2012
ho1,841,2012-05-21,142,1,0,0,5,24.848484848484848,-1.1070955846951966,-1.2735563763606423,0.5656568738575201,-0.6100819676032907,0,2012
ho1,841,2012-05-21,142,3,0,0,5,0.6060606060606061,-1.1070955846951966,-1.2735563763606423,-0.738187929895545,-0.6100819676032907,0,2012
ho1,841,2012-05-21,142,4,1,0.2,5,1.8181818181818181,-1.1070955846951966,-1.2735563763606423,-0.6729956897078918,-0.6100819676032907,1,2012
ho1,841,2012-05-21,142,5,2,0.4,5,6.0606060606060606,-1.1070955846951966,-1.2735563763606423,-0.4448228490511054,-0.6100819676032907,1,2012
ho1,841,2012-05-21,142,6,0,0,5,4.848484848484849,-1.1070955846951966,-1.2735563763606423,-0.5100150892387586,-0.6100819676032907,0,2012
ho1,841,2012-05-21,142,7,2,0.4,5,38.18181818181818,-1.1070955846951966,-1.2735563763606423,1.2827715159217057,-0.6100819676032907,1,2012
ho1,841,2012-05-25,146,0,0,0,8,20.388349514563107,-1.1070955846951966,-1.1614421475831125,0.3257747473417862,-0.42603678932677636,0,2012
ho1,841,2012-05-25,146,1,0,0,8,19.41747572815534,-1.1070955846951966,-1.1614421475831125,0.27355766175458823,-0.42603678932677636,0,2012
ho1,841,2012-05-25,146,3,0,0,8,0.48543689320388345,-1.1070955846951966,-1.1614421475831125,-0.7446755071957727,-0.42603678932677636,0,2012
ho1,841,2012-05-25,146,4,0,0,8,0.9708737864077669,-1.1070955846951966,-1.1614421475831125,-0.7185669644021737,-0.42603678932677636,0,2012
ho1,841,2012-05-25,146,5,7,0.875,8,4.854368932038835,-1.1070955846951966,-1.1614421475831125,-0.5096986220533817,-0.42603678932677636,1,2012
ho1,841,2012-05-25,146,6,0,0,8,3.8834951456310676,-1.1070955846951966,-1.1614421475831125,-0.5619157076405797,-0.42603678932677636,0,2012
