year;sample_number;size;ecto-mites_xs;ecto-mites_s;ecto-mites_m;ecto-mites_l;tracheal-mites;parasite_apicystis;parasite_nosema;parasite_crithidia;parasitoid_braconidae_larvae;parasitoid_conopidae_ventral_egg;parasitoid_conopidae_ventral_larvae;parasitoid_conopidae_dorsal_egg;parasitoid_conopidae_dorsal_larvae;parasitoid_conopidae_dead_larvae;nematode;ovary_development;fatbody_look;comment;dissector
2011;90;3.4;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;91;3.8;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;92;3.4;0;0;1;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;93;3.5;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;94;3.3;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;S
2011;95;3.7;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;96;3.4;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;97;3.6;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;98;4;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;99;3.6;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;100;3.2;0;0;0;1;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;NA
2011;101;3.6;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;wei§;;B
2011;102;3.7;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;B
2011;103;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2011;104;3;0;0;0;0;0;NA;NA;NA;0;0;0;0;0;0;0;0;normal;;NA
