Hieracium euchaetium Nägeli & Peter (bauhini - echioides - pilosella);B`;
Hieracium fallaciforme Litv. & Zahn (fallax > pilosella);B`;
Hieracium fallacinum F. W. Schultz (densiflorum >= pilosella);B`;
Hieracium fallax Willd. (echioides - cymosum);B`;
Hieracium flagellare Willd. (caespitosum - pilosella);B`;
Hieracium floribundum Wimm. & Grab. (caespitosum > lactucella);B`;
Hieracium fuscum Vill. (aurantiacum > lactucella);B`;
Hieracium glomeratum Froel. (cymosum - caespitosum);B`;
Hieracium guthnickianum Hegetschw. (cymosum - aurantiacum);B`;
Hieracium heterodoxum (Tausch) Nägeli & Peter (calodon > pilosella);B`;
Hieracium hoppeanum Schult. s. str.;B`;
Hieracium hybridum Chaix (cymosum > peleterianum);B`;
Hieracium hypeuryum Peter (hoppeanum - pilosella);B`;
Hieracium iseranum (Uechtr.) Zahn (floribundum > pilosella);B`;
Hieracium kalksburgense Wiesb. (cymosum < pilosella);B`;
Hieracium koernickeanum (Nägeli & Peter) Zahn (bauhini - lactucella);B`;
Hieracium lactucella Wallr.;B`;
Hieracium leptoclados Peter (arvicola - pilosella);B`;
Hieracium leptophyton Nägeli & Peter (bauhini > pilosella);B`;
Hieracium leucense F. O. Wolf (piloselloides < peleterianum);B`;
Hieracium longisquamum Peter (peleterianum - pilosella);B`;
Hieracium macranthelum Nägeli & Peter (glomeratum - pilosella);B`;
Hieracium macranthum (Ten.) Ten.;B`;
Hieracium macrostolonum Gus. Schneid. (caespitosum < pilosella);B`;
Hieracium montanum Nägeli & Peter (arvicola > pilosella);B`;
Hieracium murorum L.;B`;
Hieracium nassovicum (Zahn) Gottschlich (calodon < pilosella);B`;
Hieracium niphostribes Peter (lactucella - angustifolium);B`;
Hieracium nothum Huter (aurantiacum - sphaerocephalum);B`;
Hieracium paragogum Nägeli & Peter (brachiatum - lactucella);B`;
Hieracium peleterianum Mérat;B`;
Hieracium pilosella L.;B`;
Hieracium piloselliflorum Nägeli & Peter (floribundum < pilosella);B`;
Hieracium pilosellinum F. W. Schultz (fallacinum - pilosella);B`;
Hieracium piloselloides Vill.;B`;
Hieracium pilosum Schleich. ex Froel.;B`;
Hieracium polymastix Peter (bauhini - caespitosum);B`;
Hieracium prussicum Nägeli & Peter (caespitosum > pilosella);B`;
Hieracium pseudeffusum Peter (bauhini - piloselloides);B`;
Hieracium rothianum Wallr. (echoides > pilosella);B`;
Hieracium rubriflorum Zahn (aurantiacum > hoppeanum);B`;
Hieracium schneidii Schack & Zahn (calodon - densiflorum);B`;
Hieracium schultesii F. W. Schultz (lactucella - pilosella);B`;
Hieracium sciadophorum Nägeli & Peter (cymosum - lactucella);B`;
Hieracium sphaerocephalum Froel. (angustifolium - hoppeanum);B`;
Hieracium spurium Chaix ex Froel. (cymosum > pilosella);B`;
Hieracium stoloniflorum Waldst. & Kit. (aurantiacum < pilosella);B`;
Hieracium substoloniflorum Peter (aurantiacum <= hoppeanum);B`;
Hieracium sulphureum Döll (piloselloides - lactucella);B`;
Hieracium villosum Jacq.;B`;
Hieracium viridifolium Peter (lactucella - hoppeanum);B`;
Hieracium visianii (F. W. Schultz & Sch. Bip.) Schinz & Thell. (piloselloides > pilosella);B`;
Hieracium vulgatum Fr. (bifidum <= lachenalii);B`;
Hieracium walteri-langii Gottschlich (fallax - leptophyton);B`;
Hieracium zizianum Tausch (piloselloides - cymosum);B`;
Hippocrepis comosa L.;H;
Holcus lanatus L.;W;
Homogyne alpina (L.) Cass.;B`F;
Hypericum maculatum Crantz s. l.;Po;
Hypericum perforatum L.;Po;
Hypericum x desetangsii Lamotte s. l. (Hypericum maculatum x H. perforatum);Po;
Impatiens noli-tangere L.;Hh;
Juncus trifidus L. s. l.;W;
Juniperus communis L. s. str.;W;
Juniperus sibirica Burgsd.;W;
Knautia arvensis (L.) Coult. s. str.;B`;
Knautia dipsacifolia Kreutzer;B`;
Knautia kitaibelii (Schult.) Borbás;B`;
Lamium maculatum L.;H;
Larix decidua Mill.;W;
Lathyrus pratensis L.;H;
Leontodon hispidus L.;B`;
Leucanthemum adustum (W. D. J. Koch) Gremli;B`;
Leucanthemum halleri (Suter) Ducommun;B`;
Leucanthemum ircutianum DC.;B`;
Leucanthemum vulgare Lam. s. str.;B`;
Ligusticum mutellina (L.) Crantz;A;
Lilium martagon L.;Fn;
Linaria alpina (L.) Mill.;Hh;
Linaria vulgaris Mill.;H;
Linum catharticum L.;B;
Listera ovata (L.) R. Br.;Hi;
Lolium multiflorum Lam.;W;
Lolium perenne L.;W;
Lotus alpinus (DC.) Schleich. ex Ramond;Hb;
Lotus corniculatus L.;Hb;
Lotus tenuis Waldst. & Kit. ex Willd.;Hb;
Luzula alpina Hoppe;W;
Luzula congesta (Thuill.) Lej.;W;
Luzula divulgata Kirschner;W;
Luzula glabrata (Hoppe) Desv.;W;
Luzula luzulina (Vill.) Dalla Torre & Sarnth.;W;
Luzula multiflora (Ehrh.) Lej. s. str.;W;
Luzula pilosa (L.) Willd.;W;
Luzula sudetica (Willd.) Schult.;W;
Luzula sylvatica (Huds.) Gaudin s. l.;W;
Lychnis flos-cuculi L.;HFt;
Lysimachia nemorum L.;Po;
Lysimachia nummularia L.;Po;
Maianthemum bifolium (L.) F. W. Schmidt;PoA;
Malaxis monophyllos (L.) Sw.;AB;
Medicago lupulina L.;H;
