"Stationsname"	"date"	"elevation"	"Messortname"	"Lat"	"Lon"	"year"	"T_meanday"	"stdDate"	"Daynumber"
"Blaueishuette"	"17.04.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	2.24	17.04.10	14716
"Blaueishuette"	"18.04.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	3.58	18.04.10	14717
"Blaueishuette"	"19.04.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	3.94	19.04.10	14718
"Blaueishuette"	"20.04.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	4.26	20.04.10	14719
"Blaueishuette"	"21.04.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	2.25	21.04.10	14720
"Blaueishuette"	"22.04.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	0.89	22.04.10	14721
"Blaueishuette"	"23.04.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	5.23	23.04.10	14722
"Blaueishuette"	"24.04.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	6.12	24.04.10	14723
"Blaueishuette"	"25.04.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	8.29	25.04.10	14724
"Blaueishuette"	"26.04.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	6.02	26.04.10	14725
"Blaueishuette"	"27.04.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	4.03	27.04.10	14726
"Blaueishuette"	"28.04.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	6.64	28.04.10	14727
"Blaueishuette"	"29.04.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	10.57	29.04.10	14728
"Blaueishuette"	"30.04.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	11.17	30.04.10	14729
"Blaueishuette"	"01.05.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	6.47	01.05.10	14730
"Blaueishuette"	"02.05.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	4.7	02.05.10	14731
"Blaueishuette"	"03.05.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	1.37	03.05.10	14732
"Blaueishuette"	"04.05.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	3.28	04.05.10	14733
"Blaueishuette"	"05.05.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	5.15	05.05.10	14734
"Blaueishuette"	"06.05.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	3.3	06.05.10	14735
"Blaueishuette"	"07.05.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	0	07.05.10	14736
"Blaueishuette"	"08.05.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	1.63	08.05.10	14737
"Blaueishuette"	"09.05.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	4	09.05.10	14738
"Blaueishuette"	"10.05.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	4.25	10.05.10	14739
"Blaueishuette"	"11.05.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	7.38	11.05.10	14740
"Blaueishuette"	"12.05.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	3.42	12.05.10	14741
"Blaueishuette"	"13.05.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	3.1	13.05.10	14742
"Blaueishuette"	"14.05.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	0.92	14.05.10	14743
"Blaueishuette"	"15.05.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-0.86	15.05.10	14744
"Blaueishuette"	"16.05.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-1.6	16.05.10	14745
"Blaueishuette"	"17.05.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	1.18	17.05.10	14746
"Blaueishuette"	"18.05.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-0.32	18.05.10	14747
"Blaueishuette"	"19.05.2010"	1650	"Blaueishuette"	47.869	12.87	"2010"	-0.92	19.05.10	14748
