;insects;always;Dannemann, A. 2000: Der Einfluß von Fragmentierung und Populationsgröße auf die genetische Variation und Fitness von seltenen Pflanzen am Beispiel von Biscutella laevigata (Brassicaceae). Dissertationes Botanicae Vol. 330. Cramer, Berlin.;species;
Bistorta vivipara (L.) Delarbre;selfing;the rule;Günthart, A. 1926: Die Blütenbiologie der Alpenflora. In: Schroeter, C. (Hrsg.) Das Pflanzenleben der Alpen, S. 1028-1109, Albert Raustein, Zürich;species;
;insects;possible;Günthart, A. 1926: Die Blütenbiologie der Alpenflora. In: Schroeter, C. (Hrsg.) Das Pflanzenleben der Alpen, S. 1028-1109, Albert Raustein, Zürich;species;
Brachypodium pinnatum (L.) P. Beauv.;wind;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Brachypodium rupestre (Host) Roem. & Schult.;wind;the rule;Frank, D., Klotz, S. 1990: Biologisch-ökologische Daten zur Flora der DDR. Wissenschaftliche Beiträge Martin-Luther Univ. Halle-Wittenberg Vol. 32 (P41);family;
Brachypodium sylvaticum (Huds.) P. Beauv.;wind;always;Anmerkung 2002: pers. obs.;species;
Briza media L.;wind;always;Dixon, J.M. 2002: Biological Flora of the British Isles: Briza media L.. Journal of Ecology 90:737-752;species;
Buphthalmum salicifolium L.;insects;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Calamagrostis varia (Schrad.) Host;wind;always;Conert, H.J. 1979: Poaceae. In: Hegi, G.B. (Hrsg.) Illustrierte Flora von Mitteleuropa, 1(3), S. 1-843, Parey, Berlin;species;
Calluna vulgaris (L.) Hull;wind;rare;Mahy, G., De Sloover, J., Jacquemart, A.L. 1998: The generalist pollination system and reproductive success of Calluna vulgaris in the Upper Ardenne. Canadian Journal of Botany 76:1843-1851;species;
;wind;unknown;Gimingham, C.H. 1960: Biological Flora of the British Isles: Calluna vulgaris (L.) Hull. Journal of Ecology 48:455-483;species;
;insects;the rule;Mahy, G., De Sloover, J., Jacquemart, A.L. 1998: The generalist pollination system and reproductive success of Calluna vulgaris in the Upper Ardenne. Canadian Journal of Botany 76:1843-1851;species;
;insects;unknown;Gimingham, C.H. 1960: Biological Flora of the British Isles: Calluna vulgaris (L.) Hull. Journal of Ecology 48:455-483;species;
Caltha palustris L.;insects;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Campanula alpina Jacq.;selfing;at failure of outcrossing;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
;insects;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Campanula cochleariifolia Lam.;insects;always;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Campanula glomerata L.;selfing;at failure of outcrossing;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
;insects;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Campanula patula L.;selfing;possible;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
;insects;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Campanula scheuchzeri Vill.;insects;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
Campanula trachelium L.;insects;the rule;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;species;
