BiolFlor-Name;UV reflection of the flower;;;
;UV reflection in the centre of the flower;UV reflection in the periphery of the flower;UV reflection pattern
Sanicula europaea L.;0-7 %;0-7 %;no UV reflectance patterns;
Saxifraga aizoides L.;16-27 %;40-66 %;UV reflectance pattern present;
Saxifraga rotundifolia L.;8-15 %;0-7 %;UV reflectance pattern present;
Saxifraga stellaris L.;0-7 %;8-15 %;UV reflectance pattern present;
Scrophularia nodosa L.;16-27 %;8-15 %;UV reflectance pattern present;
Sedum album L.;16-27 %;16-27 %;UV reflectance pattern present;
Silene acaulis (L.) Jacq. s. str.;0-7 %;8-15 %;UV reflectance pattern present;
Silene dioica (L.) Clairv.;16-27 %;16-27 %;UV reflectance pattern present;
Silene nutans L.;16-27 %;16-27 %;UV reflectance pattern present;
Silene vulgaris (Moench) Garcke s. l.;16-27 %;16-27 %;UV reflectance pattern present;
Solanum dulcamara L.;8-15 %;8-15 %;no UV reflectance patterns;
Soldanella alpina L.;28-39 %;28-39 %;no UV reflectance patterns;
Solidago virgaurea L.;0-7 %;16-27 %;UV reflectance pattern present;
Stachys sylvatica L.;8-15 %;8-15 %;no UV reflectance patterns;
Stellaria graminea L.;0-7 %;8-15 %;UV reflectance pattern present;
Stellaria nemorum L. s. l.;0-7 %;16-27 %;UV reflectance pattern present;
Taraxacum sect. Ruderalia  Wiggers;0-7 %;28-39 %;UV reflectance pattern present;
Teucrium chamaedrys L.;8-15 %;8-15 %;no UV reflectance patterns;
Thalictrum aquilegiifolium L.;0-7 %;0-7 %;no UV reflectance patterns;
Thymus pulegioides L. s. l.;8-15 %;8-15 %;no UV reflectance patterns;
Tragopogon pratensis L. s. str.;0-7 %;0-7 %;no UV reflectance patterns;
;8-15 %;16-27 %;UV reflectance pattern present;
Trifolium medium L.;0-7 %;0-7 %;no UV reflectance patterns;
Trifolium montanum L.;0-7 %;0-7 %;no UV reflectance patterns;
Trifolium pratense L.;0-7 %;0-7 %;no UV reflectance patterns;
Trifolium repens L.;0-7 %;0-7 %;no UV reflectance patterns;
Trollius europaeus L.;0-7 %;0-7 %;no UV reflectance patterns;
Tussilago farfara L.;0-7 %;40-66 %;UV reflectance pattern present;
Vaccinium myrtillus L.;unknown;8-15 %;unknown;
Vaccinium vitis-idaea L.;unknown;8-15 %;unknown;
Valeriana dioica L.;8-15 %;8-15 %;no UV reflectance patterns;
Valeriana montana L.;8-15 %;8-15 %;no UV reflectance patterns;
Valeriana officinalis L. s. str.;8-15 %;8-15 %;no UV reflectance patterns;
Valeriana tripteris L.;16-27 %;16-27 %;no UV reflectance patterns;
Verbascum thapsus L.;0-7 %;40-66 %;UV reflectance pattern present;
Veronica beccabunga L.;0-7 %;40-66 %;UV reflectance pattern present;
Veronica chamaedrys L. s. l.;0-7 %;40-66 %;UV reflectance pattern present;
Veronica officinalis L.;0-7 %;8-15 %;UV reflectance pattern present;
Veronica serpyllifolia L.;unknown;8-15 %;no UV reflectance patterns;
Vicia cracca L. s. str.;8-15 %;8-15 %;no UV reflectance patterns;
Vicia sepium L.;0-7 %;40-66 %;UV reflectance pattern present;
Vicia tenuifolia Roth s. str.;8-15 %;8-15 %;no UV reflectance patterns;
Vincetoxicum hirundinaria Medik.;0-7 %;0-7 %;no UV reflectance patterns;
Viola biflora L.;0-7 %;67-85 %;UV reflectance pattern present;
Viola hirta L.;8-15 %;8-15 %;no UV reflectance patterns;
Viola reichenbachiana Jord. ex Boreau;0-7 %;8-15 %;UV reflectance pattern present;
;8-15 %;8-15 %;no UV reflectance patterns;

Results BiolFlor searchsystem;
(c) UFZ-Umweltforschungszentrum Leipzig-Halle GmbH;2020-04-15 12:20:55
