BiolFlor-Name;Floral rewards;;;
;Floral rewards;Amount of floral reward;Reference
Cirsium spinosissimum (L.) Scop.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Cirsium vulgare (Savi) Ten.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Clinopodium vulgare L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Coeloglossum viride (L.) Hartm.;nectar;present;Proctor, M.C.F., Yeo, P., Lack, A. 1996: The natural history of pollination. HarperCollins Publishers, London;
Convallaria majalis L.;nectar;none;Ascherson, P., Bernátsky, J., Bernner, W., Buxbaum, F., Graebner, P., Höck, F., Kirchner, O., Loew, E., Ludwig, F. 1934: Araceae, Lemnaceae, Juncaceae, Liliaceae, Dioscoreaceae, Amaryllidaceae, Iridaceae. von Kirchner, O., Loew, E., Schröter, C., and Wangerin, W. (Hrsg.), Lebensgeschichte der Blütenpflanzen Mitteleuropas Vol. 1, 3.;
;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
;pollen;plenty;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Crepis biennis L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Crepis paludosa (L.) Moench;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Crocus albiflorus Kit.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Crocus vernus (L.) Hill s. str.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Cuscuta trifolii Bab. & Gibson;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Dactylorhiza cruenta (O. F. Müller) Soó;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Dactylorhiza curvifolia (Nyl.) Czerep.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Dactylorhiza fuchsii (Druce) Soó;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
;nectar;none;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
;deceit;present;Daumann, E. 1971: Zum Problem der Täuschblumen. Preslia (Praha) 43:304-317;
Dactylorhiza incarnata (L.) Soó;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
;nectar;none;Ziegenspeck, H. 1936: Orchidaceae. von Kirchner, O., Loew, E., Schröter, C., and Wangerin, W. (Hrsg.), Lebensgeschichte der Blütenpflanzen Mitteleuropas Vol. 1, 4.;
;deceit;present;Daumann, E. 1971: Zum Problem der Täuschblumen. Preslia (Praha) 43:304-317;
Dactylorhiza lapponica (Hartm.) Soó;nectar;none;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
;deceit;present;Daumann, E. 1971: Zum Problem der Täuschblumen. Preslia (Praha) 43:304-317;
Dactylorhiza maculata (L.) Soó s. str.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
;nectar;none;Ziegenspeck, H. 1936: Orchidaceae. von Kirchner, O., Loew, E., Schröter, C., and Wangerin, W. (Hrsg.), Lebensgeschichte der Blütenpflanzen Mitteleuropas Vol. 1, 4.;
;nectar;none;Daumann, E. 1971: Zum Problem der Täuschblumen. Preslia (Praha) 43:304-317;
;deceit;present;Daumann, E. 1971: Zum Problem der Täuschblumen. Preslia (Praha) 43:304-317;
Dactylorhiza majalis (Rchb.) Hunt & Summerh. s. str.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
;nectar;none;Ziegenspeck, H. 1936: Orchidaceae. von Kirchner, O., Loew, E., Schröter, C., and Wangerin, W. (Hrsg.), Lebensgeschichte der Blütenpflanzen Mitteleuropas Vol. 1, 4.;
;deceit;present;Daumann, E. 1971: Zum Problem der Täuschblumen. Preslia (Praha) 43:304-317;
Dactylorhiza praetermissa (Druce) Soó;nectar;none;Ferdy, J.B., Loriot, S., Sandmeier, M., LeFranc, M., Raquin, C. 2001: Inbreeding depression in a rare deceptive orchid. Canadian Journal of Botany 79:1181-1188;
;deceit;present;Daumann, E. 1971: Zum Problem der Täuschblumen. Preslia (Praha) 43:304-317;
Dactylorhiza ruthei (M. Schulze & Ruthe) Soó;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Dactylorhiza sphagnicola (Höppner) Soó;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Dactylorhiza traunsteineri (Saut.) Soó s. str.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Daphne mezereum L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Daucus carota L.;nectar;present;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Dentaria enneaphyllos L.;nectar;little;Knuth, P. 1898: Handbuch der Blütenbiologie. Leipzig;
Draba aizoides L.;nectar;plenty;Kay, Q.O.N., Harrison, J. 1970: Biological Flora of the British Isles: Draba aizoides L.. Journal of Ecology 58:877-888;
