BiolFlor-Name;Flower type after KUGLER
Saxifraga aizoides L.;1.2a
Saxifraga androsacea L.;1.2a
Saxifraga caesia L.;1.2a
Saxifraga paniculata Mill.;1.2a
Saxifraga rotundifolia L.;1.2a
Saxifraga stellaris L.;1.2a
Scabiosa lucida Vill.;7.1
Scrophularia nodosa L.;5.2
Sedum album L.;1.2bd
Sedum atratum L.;1.2bd
Senecio abrotanifolius L.;7.2c
Senecio germanicus Wallr.;7.2c
Senecio ovatus (Gaertn.;7.2c
Sesleria albicans Kit. ex Schult.;0
Silene acaulis (L.) Jacq. s. str.;4.2
Silene dioica (L.) Clairv.;4.2
Silene nutans L.;4.2
Silene vulgaris (Moench) Garcke s. l.;4.2
Solanum dulcamara L.;1.1
Soldanella alpina L.;3.1
Solidago virgaurea L.;7.2c
Stachys sylvatica L.;5.1
Stellaria graminea L.;1.2bb
Stellaria nemorum L. s. l.;1.2bb
Taraxacum sect. Alpina Hegetschw.;7.2b
Taraxacum sect. Palustria  (Lyons) Symons;7.2b
Taraxacum sect. Ruderalia  Wiggers;7.2b
Teucrium chamaedrys L.;5.1
Thalictrum aquilegiifolium L.;9
Thesium alpinum L.;1.2ba
Thymus praecox Opiz s. l.;5.1
Thymus pulegioides L. s. l.;5.1
Tofieldia calyculata (L.) Wahlenb.;1.2a
Tofieldia pusilla (Michx.) Pers.;1.2a
Tragopogon minor Mill.;7.2b
Tragopogon orientalis L.;7.2b
Tragopogon pratensis L. s. str.;7.2b
Traunsteinera globosa (L.) Rchb.;7.1
Trifolium badium Schreb.;6.1a
Trifolium medium L.;6.1a
Trifolium montanum L.;6.1a
Trifolium pratense L.;6.1a
Trifolium repens L.;6.1a
Trisetum flavescens (L.) P. Beauv.;0
Trollius europaeus L.;1.2bf
Tussilago farfara L.;7.2c
Urtica dioica L. s. l.;0
Vaccinium myrtillus L.;3.1
Vaccinium vitis-idaea L.;3.1
Valeriana dioica L.;2.2
Valeriana montana L.;2.2
Valeriana officinalis L. s. str.;2.2
Valeriana pratensis Dierb.;2.2
Valeriana procurrens Wallr.;2.2
Valeriana sambucifolia J. C. Mikan ex Pohl;2.2
Valeriana saxatilis L.;2.2
Valeriana tripteris L.;2.2
Valeriana versifolia Br�gger;2.2
Valeriana wallrothii Kreyer;2.2
Veratrum album L.;1.2a
Verbascum thapsus L.;5.6
Veronica alpina L.;5.6
Veronica aphylla L.;5.6
Veronica beccabunga L.;5.6
Veronica chamaedrys L. s. l.;5.6
Veronica filiformis Sm.;5.6
Veronica fruticans Jacq.;5.6
Veronica officinalis L.;5.6
Veronica serpyllifolia L.;5.6
Vicia cracca L. s. str.;6.1b
Vicia dalmatica Kern.;6.1b
Vicia sepium L.;6.1b
Vicia tenuifolia Roth s. str.;6.1b
Vincetoxicum hirundinaria Medik.;10.2
Viola biflora L.;5.5
Viola collina Besser;5.5
Viola hirta L.;5.5
Viola reichenbachiana Jord. ex Boreau;5.5
Willemetia stipitata (Jacq.) Dalla Torre;7.2b
