site1,site2,metric,metric.class,value,elev1,elev2,man1,man2,lon1,lat1,lon2,lat2,elev.diff,mean.elev,man.diff,year
h1,ho1,ST.l,ST.partition,0.4157510596467193,817,841,grasing,grasing,12.836133,47.590633,12.880783,47.604083,24,829,FALSE,2010
h1,ho1,ST.lh,ST.partition,0.11771085718736951,817,841,grasing,grasing,12.836133,47.590633,12.880783,47.604083,24,829,FALSE,2010
h1,ho1,WN,aggregate,0.6522371243480575,817,841,grasing,grasing,12.836133,47.590633,12.880783,47.604083,24,829,FALSE,2010
h1,ho1,WN.repl,WN.partition,0.4574105827232735,817,841,grasing,grasing,12.836133,47.590633,12.880783,47.604083,24,829,FALSE,2010
h1,ho1,WN.rich,WN.partition,0.194826541624784,817,841,grasing,grasing,12.836133,47.590633,12.880783,47.604083,24,829,FALSE,2010
h1,ho2,OS,aggregate,0.09901209540292773,817,1045,grasing,grasing,12.836133,47.590633,12.893233,47.588917,228,931,FALSE,2010
h1,ho2,OS.repl,OS.partition,0.055882225922513094,817,1045,grasing,grasing,12.836133,47.590633,12.893233,47.588917,228,931,FALSE,2010
h1,ho2,OS.rich,OS.partition,0.04312986948041464,817,1045,grasing,grasing,12.836133,47.590633,12.893233,47.588917,228,931,FALSE,2010
h1,ho2,S,aggregate,0.5447706577291821,817,1045,grasing,grasing,12.836133,47.590633,12.893233,47.588917,228,931,FALSE,2010
h1,ho2,ST,aggregate,0.6541061922666638,817,1045,grasing,grasing,12.836133,47.590633,12.893233,47.588917,228,931,FALSE,2010
h1,ho2,ST.h,ST.partition,0.07510647497902602,817,1045,grasing,grasing,12.836133,47.590633,12.893233,47.588917,228,931,FALSE,2010
h1,ho2,ST.l,ST.partition,0.4436687062832226,817,1045,grasing,grasing,12.836133,47.590633,12.893233,47.588917,228,931,FALSE,2010
h1,ho2,ST.lh,ST.partition,0.13533101100441522,817,1045,grasing,grasing,12.836133,47.590633,12.893233,47.588917,228,931,FALSE,2010
h1,ho2,WN,aggregate,0.7531182876695915,817,1045,grasing,grasing,12.836133,47.590633,12.893233,47.588917,228,931,FALSE,2010
h1,ho2,WN.repl,WN.partition,0.4597723625020219,817,1045,grasing,grasing,12.836133,47.590633,12.893233,47.588917,228,931,FALSE,2010
h1,ho2,WN.rich,WN.partition,0.29334592516756963,817,1045,grasing,grasing,12.836133,47.590633,12.893233,47.588917,228,931,FALSE,2010
h1,ho3,OS,aggregate,0.12326186538835267,817,1333,grasing,none,12.836133,47.590633,12.8873,47.584583,516,1075,TRUE,2010
h1,ho3,OS.repl,OS.partition,0.07983958648747913,817,1333,grasing,none,12.836133,47.590633,12.8873,47.584583,516,1075,TRUE,2010
h1,ho3,OS.rich,OS.partition,0.04342227890087353,817,1333,grasing,none,12.836133,47.590633,12.8873,47.584583,516,1075,TRUE,2010
h1,ho3,S,aggregate,0.5947765095040259,817,1333,grasing,none,12.836133,47.590633,12.8873,47.584583,516,1075,TRUE,2010
h1,ho3,ST,aggregate,0.7333961691411869,817,1333,grasing,none,12.836133,47.590633,12.8873,47.584583,516,1075,TRUE,2010
h1,ho3,ST.h,ST.partition,0.10986285875772754,817,1333,grasing,none,12.836133,47.590633,12.8873,47.584583,516,1075,TRUE,2010
h1,ho3,ST.l,ST.partition,0.39972220037837763,817,1333,grasing,none,12.836133,47.590633,12.8873,47.584583,516,1075,TRUE,2010
