site,date,year,q.prop,r.prop,gdd.cum,elev.class,management,elev.mean,transect,lat,lon,elev.class2,yday,break1,break2,caste,count,prop
h1,2012-04-28,2012,1,0,24,mitte,grasing,817,Hintersee,47.590633,12.836133,low,119,181.4725578651453,230.62357875055523,queen,120,1
wma5,2012-06-17,2012,1,0,25,oben,none,2032,Watzmann 1,47.5683,12.930633,high,169,194.5725805355664,230.01927714047062,queen,3,1
wmb5,2012-06-09,2012,1,0,25,oben,none,1813,Watzmann 2,47.571583,12.93625,high,161,194.5725805355664,230.01927714047062,queen,1,1
wmb1,2012-04-29,2012,1,0,28,mitte,grasing,960,Watzmann 2,47.590483,12.94405,low,120,181.4725578651453,230.62357875055523,queen,13,1
h3,2012-04-30,2012,1,0,29,mitte,grasing,1105,Hintersee,47.5607,12.79875,mid,121,191.20236539844385,228.40772284003094,queen,16,1
h1,2012-04-29,2012,1,0,30,mitte,grasing,817,Hintersee,47.590633,12.836133,low,120,181.4725578651453,230.62357875055523,queen,83,1
ho1,2012-04-29,2012,1,0,30,mitte,grasing,841,Hintersee (Ost),47.604083,12.880783,low,120,181.4725578651453,230.62357875055523,queen,9,1
wma3,2012-05-10,2012,1,0,30,mitte,grasing,1423,Watzmann 1,47.5778,12.943317,mid,131,191.20236539844385,228.40772284003094,queen,18,1
wmb3,2012-05-10,2012,1,0,30,mitte,grasing,1420,Watzmann 2,47.569167,12.962033,mid,131,191.20236539844385,228.40772284003094,queen,12,1
h3,2012-05-01,2012,1,0,33,mitte,grasing,1105,Hintersee,47.5607,12.79875,mid,122,191.20236539844385,228.40772284003094,queen,8,1
wma2,2012-05-06,2012,1,0,33,mitte,grasing,1245,Watzmann 1,47.583517,12.940933,mid,127,191.20236539844385,228.40772284003094,queen,5,1
wmb1,2012-04-30,2012,1,0,33,mitte,grasing,960,Watzmann 2,47.590483,12.94405,low,121,181.4725578651453,230.62357875055523,queen,18,1
h7,2012-06-18,2012,0.5,0.5,34,oben,none,1984,Hintersee,47.552167,12.829933,high,170,194.5725805355664,230.01927714047062,queen,1,0.5
h1,2012-04-30,2012,1,0,35,mitte,grasing,817,Hintersee,47.590633,12.836133,low,121,181.4725578651453,230.62357875055523,queen,7,1
h2,2012-05-01,2012,1,0,36,mitte,grasing,987,Hintersee,47.574683,12.800967,low,122,181.4725578651453,230.62357875055523,queen,7,1
t5,2012-04-30,2012,1,0,36,unten,mowing,746,Tal,47.604817,12.946317,low,121,181.4725578651453,230.62357875055523,queen,5,1
wma3,2012-05-13,2012,1,0,36,mitte,grasing,1423,Watzmann 1,47.5778,12.943317,mid,134,191.20236539844385,228.40772284003094,queen,13,1
wmb2,2012-05-04,2012,1,0,36,mitte,grasing,1140,Watzmann 2,47.57715,12.955817,mid,125,191.20236539844385,228.40772284003094,queen,6,1
wmb2,2012-05-06,2012,1,0,36,mitte,grasing,1140,Watzmann 2,47.57715,12.955817,mid,127,191.20236539844385,228.40772284003094,queen,5,1
wmb2,2012-05-07,2012,1,0,36,mitte,grasing,1140,Watzmann 2,47.57715,12.955817,mid,128,191.20236539844385,228.40772284003094,queen,3,1
h3,2012-05-02,2012,1,0,37,mitte,grasing,1105,Hintersee,47.5607,12.79875,mid,123,191.20236539844385,228.40772284003094,queen,14,1
h3,2012-05-04,2012,1,0,37,mitte,grasing,1105,Hintersee,47.5607,12.79875,mid,125,191.20236539844385,228.40772284003094,queen,13,1
h3,2012-05-06,2012,1,0,37,mitte,grasing,1105,Hintersee,47.5607,12.79875,mid,127,191.20236539844385,228.40772284003094,queen,14,1
wmb1,2012-05-01,2012,1,0,37,mitte,grasing,960,Watzmann 2,47.590483,12.94405,low,122,181.4725578651453,230.62357875055523,queen,16,1
wmb3,2012-05-13,2012,1,0,37,mitte,grasing,1420,Watzmann 2,47.569167,12.962033,mid,134,191.20236539844385,228.40772284003094,queen,17,1
wmb3,2012-05-17,2012,1,0,37,mitte,grasing,1420,Watzmann 2,47.569167,12.962033,mid,138,191.20236539844385,228.40772284003094,queen,3,1
wmb4,2012-06-09,2012,1,0,37,oben,grasing,1655,Watzmann 2,47.571617,12.9406,mid,161,191.20236539844385,228.40772284003094,queen,3,1
h3,2012-05-08,2012,1,0,38,mitte,grasing,1105,Hintersee,47.5607,12.79875,mid,129,191.20236539844385,228.40772284003094,queen,19,1
ho4,2012-05-29,2012,1,0,38,oben,none,1552,Hintersee (Ost),47.583083,12.881717,mid,150,191.20236539844385,228.40772284003094,queen,2,1
t4,2012-04-30,2012,1,0,38,unten,mowing,641,Tal,47.612417,12.942383,low,121,181.4725578651453,230.62357875055523,queen,8,1
h5,2012-06-04,2012,1,0,39,oben,none,1579,Hintersee,47.5593,12.816433,mid,156,191.20236539844385,228.40772284003094,queen,4,1
wmb5,2012-06-17,2012,1,0,39,oben,none,1813,Watzmann 2,47.571583,12.93625,high,169,194.5725805355664,230.01927714047062,queen,3,1
h1,2012-05-01,2012,1,0,40,mitte,grasing,817,Hintersee,47.590633,12.836133,low,122,181.4725578651453,230.62357875055523,queen,32,1
ho2,2012-05-04,2012,1,0,40,mitte,grasing,1045,Hintersee (Ost),47.588917,12.893233,mid,125,191.20236539844385,228.40772284003094,queen,16,1
ho2,2012-05-07,2012,1,0,40,mitte,grasing,1045,Hintersee (Ost),47.588917,12.893233,mid,128,191.20236539844385,228.40772284003094,queen,5,1
