bb.sp,plant.sp,preference
pasc,Erica carnea,2.348317126062051
prat,Erica carnea,4.602037887662956
psit,Erica carnea,15.443627767115155
soro,Erica carnea,0.7604904802474196
wurf,Erica carnea,0.4700692714554477
bss,Euphrasia rostkoviana,0.16465832896529664
pasc,Euphrasia rostkoviana,0.5048521464503479
prat,Euphrasia rostkoviana,0.05240398604607229
soro,Euphrasia rostkoviana,0.074464448319666
psit,Fragaria vesca,0.30064518101272786
hort,Galeopsis tetrahit,2.0924733285739787
pasc,Galeopsis tetrahit,0.7360273346348954
bss,Galium anisophyllon,0.047949187037396944
bss,Gentiana asclepiadea,0.5590646783508083
gers,Gentiana asclepiadea,7.375102091511529
hort,Gentiana asclepiadea,5.55973919682878
pasc,Gentiana asclepiadea,1.96319234063865
prat,Gentiana asclepiadea,1.671427254812936
soro,Gentiana asclepiadea,1.6575317360158792
wurf,Gentiana asclepiadea,3.0385839593781894
bss,Gentiana aspera,0.36265290974279657
hort,Gentiana aspera,0.5638393259063561
mend,Gentiana aspera,4.105277367432512
mont,Gentiana aspera,3.07355042860146
pasc,Gentiana aspera,0.21771632417652065
pyre,Gentiana aspera,1.2106220287826315
soro,Gentiana aspera,0.20082295072603495
wurf,Gentiana aspera,1.37486747259826
wurf,Gentiana ciliata,0.5735816173721214
bss,Gentiana clusii,0.4065289121349735
hort,Gentiana clusii,1.3113709331491348
pasc,Gentiana clusii,0.8344753389991847
prat,Gentiana clusii,0.2097262876224304
soro,Gentiana clusii,1.229524804336386
wurf,Gentiana clusii,0.4363637913042294
bss,Gentiana pannonica,0.37018649283677013
hort,Gentiana pannonica,1.3701240116298246
pasc,Gentiana pannonica,0.7265998657296149
prat,Gentiana pannonica,0.9257302607619471
soro,Gentiana pannonica,0.11138359982534048
bss,Gentiana verna,0.8399115030408715
hort,Gentiana verna,2.9268866860585567
mont,Gentiana verna,0.2970821970715066
pasc,Gentiana verna,0.11813548927344646
prat,Gentiana verna,0.17361077571082556
psit,Gentiana verna,2.205545607627467
wurf,Gentiana verna,1.9167271527361087
pasc,Geranium robertianum,0.20737461428326234
bss,Geranium sylvaticum,0.6996715880874144
hort,Geranium sylvaticum,0.8219213201968216
jone,Geranium sylvaticum,3.2863670677880217
mend,Geranium sylvaticum,1.6664741579104079
mont,Geranium sylvaticum,3.409688475724647
muci,Geranium sylvaticum,2.0772093399477396
pasc,Geranium sylvaticum,0.5277815403891435
prat,Geranium sylvaticum,0.9372748582873812
psit,Geranium sylvaticum,3.8507267108361285
pyre,Geranium sylvaticum,1.8045869957242189
soro,Geranium sylvaticum,3.1248708672851917
wurf,Geranium sylvaticum,0.07286873420377438
bss,Geum rivale,0.2611677963585111
hort,Geum rivale,6.625910945488964
jone,Geum rivale,12.462450532226775
mont,Geum rivale,0.32374184866238137
muci,Geum rivale,4.82494230077166
pasc,Geum rivale,2.8547770366651664
prat,Geum rivale,8.473159564301902
psit,Geum rivale,1.3574058565028344
pyre,Geum rivale,3.2526213639067065
soro,Geum rivale,5.287944710514029
wurf,Geum rivale,0.6481807114250175
wurf,Globularia cordifolia,0.2808470136562151
bss,Globularia nudicaulis,44.12260300784028
